tlg_author_id,tlg_work_id,corpus,cts_urn,corpus_author,corpus_title,edition_description,language,word_count,text_url,metadata_url,license,source_revision,in_printed_inventory,match_method,match_confidence,verification_status
0001,001,Perseus,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2,Apollonius Rhodius,Argonautica,"The Argonautica of Apollonius Rhodius, Apollonius, Rhodius, creator; Mooney, George W, editor, translator. London: Longmans, Green, and Co., 1912.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0001.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0001/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0003,001,Perseus,urn:cts:greekLit:tlg0003.tlg001.perseus-grc2,Thucydides,Ἱστορίαι,"Thucydides. Historiae, Vol 1-2. Jones, Henry Stuart, editor. Oxford: Oxford University Press, 1910. (1942 printing).",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0003.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0003/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0004,001,Perseus,urn:cts:greekLit:tlg0004.tlg001.perseus-grc2,Diogenes Laertius,Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων,"Diogenes Laertius. Hicks, R. D., editor. Cambridge, MA.: Harvard University Press; London: William Heinemann Ltd., 1925.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0004.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0004/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0005,001,Perseus,urn:cts:greekLit:tlg0005.tlg001.perseus-grc2,Theocritus,Εἰδύλλια,"Theocritus. The Idylls of Theocritus. Cholmeley, Roger James, editor. London: George Bell and Sons, Ltd.,1901-1919.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0005.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0005/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0005,002,Perseus,urn:cts:greekLit:tlg0005.tlg002.perseus-grc2,Theocritus,Ἐπιγράμματα,"Theocritus. The Idylls of Theocritus. Cholmeley, Roger James, editor. London: George Bell and Sons, Ltd.,1901-1919.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0005.tlg002.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0005/tlg002/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0005,003,First1KGreek,urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1,Theocritus,Syrinx,,grc,77,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0005.tlg003.1st1K-grc1:1,https://github.com/OpenGreekAndLatin/First1KGreek,REVIEW_REQUIRED,bfea9acd07ee1b7cea70cdd927c8f092d5637695,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,001,Perseus,urn:cts:greekLit:tlg0006.tlg001.perseus-grc2,Euripides,Κύκλωψ,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg001.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg001/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,002,Perseus,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2,Euripides,Ἄλκηστις,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg002.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg002/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,003,Perseus,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2,Euripides,Μήδεια,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg003.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg003/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,004,Perseus,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2,Euripides,Ἡρακλεῖδαι,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg004.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg004/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,005,Perseus,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2,Euripides,Ἱππόλυτος,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg005.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg005/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,006,Perseus,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2,Euripides,Ἀνδρομάχη,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902.",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg006.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg006/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,007,Perseus,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2,Euripides,Ἑκάβη,"Euripides. Euripidis Fabulae, Vol. I. Murray, Gilbert, editor. Oxford: Clarendon Press, 1902. (Reprinted 1906-1974)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg007.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg007/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
0006,008,Perseus,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2,Euripides,Ἱκέτιδες,"Euripides. Euripidis Fabulae, Vol. II. Murray, Gilbert, editor. Oxford: Clarendon Press, 1913. (Reprinted 1921-1962)",grc,,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0006.tlg008.perseus-grc2,https://github.com/PerseusDL/canonical-greekLit/blob/790c84289edbdbe289dd7b752bfea29f0af4299d/data/tlg0006/tlg008/__cts__.xml,CC BY-SA 4.0 (repository default; verify file),790c84289edbdbe289dd7b752bfea29f0af4299d,yes,explicit_tlg_identifier,exact_identifier,METADATA_MATCH_UNVERIFIED_TEXT
