tlg_author_id,tlg_work_id,source,source_url,source_license,match_type,evidence,verified_date
0009,002,Anthologia Graeca Project,https://anthologiagraeca.org/authors/55/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0009 and lists exactly AG 6.269 (uncertain attribution preserved), 7.489, and 7.505; Greek verified on all three passage pages",2026-08-11
0541,044,Anthologia Graeca Project,https://anthologiagraeca.org/authors/48/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0541 and lists exactly AG 7.72 and 11.438; Greek verified on both passage pages",2026-08-11
4076,001,Anthologia Graeca Project,https://anthologiagraeca.org/passages/urn%3Acts%3AgreekLit%3Atlg7000.tlg001.ag%3A1.101/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"AG 1.101 page contains six Greek verses and explicitly attributes them to Menander Protector",2026-08-11
1506,002,Digital Fragmenta Historicorum Graecorum,https://raw.githubusercontent.com/DFHG-project/volume_3/master/data/epidoc_xml/MENODOTUS_PERINTHIUS_VEL_SAMIUS.xml,CC BY-SA 4.0,EXACT_IDENTIFIER_MATCH,"Exact FHG 3 pp.103-105 TEI; page breaks 103 and 105; three cited fragments; 4613 Greek characters; SHA-256 a7cc7634f9e6cd147a4f0d49d60855ea021b2c4a61f6195e9f8dc300406d4e9d",2026-08-11
1581,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/157/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record links Phalaecus to tlg1581 and lists exactly the five Canon loci AG 6.165; 7.650; 13.5-6, 27; Greek passage content checked; AG 7.650 currently carries dual Phalaecus/Statilius Flaccus attribution, which is preserved",2026-08-11
0104,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/184/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0104 and lists exactly AG 6.330; passage page contains four Greek verses and attributes them to Aeschines the rhetor",2026-08-11
0105,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/200/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0105 and lists exactly AG 6.152; passage page contains four Greek verses and attributes them to Agis",2026-08-11
0107,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/187/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0107 and lists exactly AG 6.182; passage page contains six Greek verses and attributes them to Alexander of Magnesia",2026-08-11
0255,002,Anthologia Graeca Project,https://anthologiagraeca.org/authors/224/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0255 and lists exactly AG 9.50; passage page contains the complete two-line Greek epigram attributed to Mimnermus",2026-08-11
0265,003,Anthologia Graeca Project,https://anthologiagraeca.org/authors/309/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0265 and lists exactly AG 13.31; passage page contains both Greek lines attributed to Timocreon of Rhodes",2026-08-11
0267,003,Anthologia Graeca Project,https://anthologiagraeca.org/authors/54/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0267 and lists exactly AG 7.120; passage page contains the complete four-line Greek epigram attributed to Xenophanes",2026-08-11
0288,003,Anthologia Graeca Project,https://anthologiagraeca.org/authors/101/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0288 and lists exactly AG 7.304; passage page contains the complete four-line Greek epigram attributed to Pisander of Rhodes",2026-08-11
0487,008,Anthologia Graeca Project,https://anthologiagraeca.org/authors/231/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0487 and lists exactly AG 9.450; passage page contains the complete three-line Greek epigram attributed to Philemon",2026-08-11
0596,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/242/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0596 and lists exactly AG 9.711; passage page contains the complete two-line Greek epigram attributed to Zenobius Grammaticus",2026-08-11
0631,002,Anthologia Graeca Project,https://anthologiagraeca.org/authors/285/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0631 and lists exactly AG 11.440; passage page contains the one-line Greek epigram attributed to Pittacus; the Canon's angle-bracket attribution and the project's suspicion note are preserved",2026-08-11
0638,009,Anthologia Graeca Project,https://anthologiagraeca.org/authors/299/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-0638 and lists exactly AG 16.110; passage page contains the complete eight-line Greek epigram attributed to Philostratus of Athens",2026-08-11
0363,013,Anthologia Graeca Project,https://anthologiagraeca.org/passages/urn%3Acts%3AgreekLit%3Atlg7000.tlg001.ag%3A9.577/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Exact Canon locus AG 9.577 contains the complete four-line Greek epigram and explicitly attributes it to Claudius Ptolemy; author record links Ptolemy to tlg-0363",2026-08-11
0600,001,Anthologia Graeca Project,https://anthologiagraeca.org/passages/urn%3Acts%3AgreekLit%3Atlg7000.tlg001.ag%3A7.117/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Exact Canon locus AG 7.117 contains the complete six-line Greek epigram and explicitly attributes it to Zenodotus the Stoic; author record links him to tlg-0600",2026-08-11
1593,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/283/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-1593 and lists exactly AG 11.419; passage page contains the complete two-line Greek epigram attributed to Philo; Canon's angle-bracket author type is preserved",2026-08-11
1601,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/255/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-1601 and lists exactly AG 9.319; passage HTML independently checked with 233 Greek characters and explicit Philoxenus attribution",2026-08-11
1604,002,Anthologia Graeca Project,https://anthologiagraeca.org/authors/291/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-1604 and lists exactly AG 10.117; passage page contains the complete four-line Greek epigram attributed to Phocylides; modern doubts about that attribution are preserved",2026-08-11
1610,001,Anthologia Graeca Project,https://anthologiagraeca.org/authors/31/,CC BY 4.0,EXACT_IDENTIFIER_MATCH,"Author record identifies tlg-1610 and lists exactly AG 7.16; passage page contains the complete two-line Greek epigram attributed to Pinytus",2026-08-11
