source_root,hf_repo,archive,image_count,remote_size,manifest_sha256,verification,status,last_checked
scans/tlg0087/tlg045/cramer-1836-pp228-236,Zual/TLG_libre_scans,webdataset/tlg0087--tlg045--cramer-1836-pp228-236--db8793741518.tar,9,5017600,ac02c16e243a090514d0ffef890dc5a3cc1af77cc024abeeb9d198eb47a9fd7a,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg0405/tlg003/demianczuk-1912,Zual/TLG_libre_scans,webdataset/tlg0405--tlg003--demianczuk-1912--654492fafdda.tar,170,165150720,f99816d7de77c32ba7affb0645f82648f1e3a53861841aef480884e1cfdb60cf,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg0541/tlg023/koeln-tm61510,Zual/TLG_libre_scans,webdataset/tlg0541--tlg023--koeln-tm61510--4b706f11c033.tar,1,163840,0325c3eb422bf3fdd2574ea58cd5488a00cf0f63612b1e1bda573405643dc38c,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1021/tlg001/koeln-tm59146,Zual/TLG_libre_scans,scans/tlg1021/tlg001/koeln-tm59146,2,7953336,c214676cce2695d2a7cbad4337e2c48e069a356dc6a03d676ccc592e94a728d4,REMOTE_2_FILES_SIZE_AND_MANIFEST_SHA256_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg0643/tlg001/diels-1893,Zual/TLG_libre_scans,webdataset/tlg0643--tlg001--diels-1893--4a456b419eff.tar,162,57169920,fe8a508744b0b67d9ada324541727981b2c040c1dbcec910ed96fdf7b31705a6,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg0721/tlg017/ermerins-1840,Zual/TLG_libre_scans,webdataset/tlg0721--tlg017--ermerins-1840--00b0a67a5763.tar,358,117268480,3088c6710e93b1cdb3a60023ec2d2810154ef79e1799e3979bb83d7dde8c4597,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg0723/tlg002/ermerins-1840,Zual/TLG_libre_scans,webdataset/tlg0723--tlg002--ermerins-1840--332f4d0955fe.tar,343,134666240,923ce1c3eb593eb5e845ef09c0057421bf7eadc5bca3820a7bee82be58938a1d,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1118/tlg001/sprengel-dioscorides-v2-1830,Zual/TLG_libre_scans,webdataset/tlg1118--tlg001--sprengel-dioscorides-v2-1830--4ba9e545dc7d.tar,41,34304000,7a3050194371c95e19a916405440942d47ba2445349349125fc6f9cefd208865,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1128/tlg001/diels-schubart-1905,Zual/TLG_libre_scans,webdataset/tlg1128--tlg001--diels-schubart-1905--2b2187c10e21.tar,114,50247680,a4d0c46121d9a826cb96a7848c92d02462993c9f5bf45014d0e9ef798c3acdbd,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1493/tlg001/hense-1894-p312,Zual/TLG_libre_scans,webdataset/tlg1493--tlg001--hense-1894-p312--649b5e5aafd4.tar,1,1239040,0044cc7f9d239795e94f6e239a1efd08928ccb31558c05ac822c8c36c6e2e0b0,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1495/tlg001/poxy13-1600,Zual/TLG_libre_scans,webdataset/tlg1495--tlg001--poxy13-1600--373e182813b3.tar,3,860160,eb3f8fa9d201dd14eb8f84312699eb4d9958c205f5d623687b2f343f19b14f23,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1530/tlg004/carnuth-1875,Zual/TLG_libre_scans,webdataset/tlg1530--tlg004--carnuth-1875--f8efac38df2a.tar,86,30033920,e6bb6bd6a1ef4fb53436a09a5dd2cb3d665ed05826a2251f019381076cb279b2,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1560/tlg001/preuschen-1905,Zual/TLG_libre_scans,webdataset/tlg1560--tlg001--preuschen-1905--fdb827023986.tar,236,74567680,413f357e1003bfec97698c037469f25ce7a14a599abad05070fb1cac3f400f66,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1617/tlg002/cramer-1836-p255,Zual/TLG_libre_scans,webdataset/tlg1617--tlg002--cramer-1836-p255--8cbce3c703ef.tar,1,1269760,0157bf771f456e1e127f4f423d3bb54bc8debc68ab52f392c81f66c1947857b7,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg1672/tlg002/langkavel-1868,Zual/TLG_libre_scans,webdataset/tlg1672--tlg002--langkavel-1868--a48be4b312e0.tar,176,58624000,9b693758647f58455452ff8c37f4a9d808ec5b247fd3d64f2399bfd82dfb0851,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg2181/tlg002/caag2-1888-pp300-315,Zual/TLG_libre_scans,webdataset/tlg2181--tlg002--caag2-1888-pp300-315--40007d1db9e6.tar,16,16558080,cde3c729b354688de2967c6aae0b2a9990c2e52f0e1561ae5902a6f60c8b2fda,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg2584/tlg001/kaibel-1899,Zual/TLG_libre_scans,webdataset/tlg2584--tlg001--kaibel-1899--906af87c035c.tar,280,146391040,21dcf90ffe61684d56a24967c895f64aa0ffa01b49a9d42c3fca957be8361c3e,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg2896/tlg012/nau-oriens-christianus-1903,Zual/TLG_libre_scans,webdataset/tlg2896--tlg012--nau-oriens-christianus-1903--f5b78700e9aa.tar,28,43622400,c45767af185fee282d744f63562ff5a0cd0422f7f248560df6b7b83f75788c64,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg2962/tlg005/pg18-cols512-517,Zual/TLG_libre_scans,webdataset/tlg2962--tlg005--pg18-cols512-517--a53d4688852e.tar,4,21954560,af313ee875c9e5bd8bda69dd68572cb32756f5f03245248e348b1427144b0ab0,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg2972/tlg001/wachsmuth-1897,Zual/TLG_libre_scans,webdataset/tlg2972--tlg001--wachsmuth-1897--cb020d9c5cd8.tar,450,210513920,45a0b40de9757bb0237fdd7ecc4430671cc533ef10588f3ca37e0ba5c0d27ede,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
scans/tlg3141/tlg001/bekker-1836,Zual/TLG_libre_scans,webdataset/tlg3141--tlg001--bekker-1836--dc7c8e84f35f.tar,292,99225600,90995ca836079b5e9b867d12e4a7dd1b17714863f5acfaaabc973651b0c1977c,REMOTE_PATH_AND_SIZE_MATCH,MIGRATED_PUBLIC,2026-08-11
