tlg_author_id,tlg_work_id,required_loci,unresolved_loci,observed_attributions,reason,evidence_file
0118,001,5.111;6.95;7.141;9.13;10.17;11.66;16.136,9.13,9.13=tlg-1614,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b7_batch_0003.csv
0138,001,1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;3.18;3.19;5.2;6.6;6.7;6.8;7.2;9.15;10.3;11.3;12.17;13.13;14.2;14.3;14.4;14.5;14.6;14.7;14.8;14.9;14.10;14.11;14.12;14.13;14.14;14.15;14.16;14.17;14.18;14.19;14.20;14.21;14.22;14.23;14.24;14.25;14.26;14.27;14.28;14.29;14.30;14.31;14.32;14.33;14.34;14.35;14.36;14.37;14.38;14.39;14.40;14.41;14.42;14.43;14.44;14.45;14.46;14.47;14.48;14.49;14.50;14.51;14.52;14.53;14.54;14.55;14.56;14.57;14.58;14.59;14.60;14.61;14.62;15.1;15.2;15.3;15.4;15.5;15.6;15.7;15.8;16.4,3.19;7.2,3.19=tlg-4057;7.2=tlg-0113,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b3_batch_0004.csv
0143,001,,,,NO_PARSEABLE_AG_LOCUS_IN_CANON_NOTICE,data/research_batches/tlg_0001_1500_b5_cont17_checkpoint_02_5361_004_4477_001.csv
1456,001,6.203,6.203,6.203=tlg-1589,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_0001_1500_b5_cont14_checkpoint_04_0646_001_9037_001.csv
1458,001,5.188;6.4;7.13;9.24;9.25;10.1;16.171,7.13,7.13=tlg-1492,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_0001_1500_b5_cont15_checkpoint_04_4429_002_2554_001.csv
1589,001,4.2;6.5;7.186;7.187;9.11;11.33;13.1;16.25,9.11,9.11=tlg-4052,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_1501_3000_batch_0005.csv
2003,018,9.365;16.115,16.115,16.115=tlg-2003?,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_0001_1500_b5_cont14_checkpoint_02_2003_010_2734_010.csv
3041,001,9.200;9.201;9.202;9.203;15.12,9.200;9.201;9.202;9.203;15.12,9.200=tlg-9016;9.201=tlg-9016;9.202=tlg-9016;9.203=tlg-9016;15.12=tlg-9016,LOCUS_MISSING_OR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_0001_1500_b5_cont15_checkpoint_02_3205_003_3041_001.csv
0497,005,9.359,9.359,9.359=tlg-1595; Canon alternative Plato Comicus remains disputed,PRIMARY_AUTHOR_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_703.csv
1104,001,5.49,5.49,5.49=Tudicius Gallus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_776.csv
1620,001,9.7;9.8;9.9,9.7;9.8;9.9,9.7-9.9=tlg-1621 Polyaenus Sardianus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_814.csv
7000,001,,,,NO_PARSEABLE_AG_LOCUS_IN_CANON_NOTICE,data/research_batches/tlg_3001_4500_b6_batch_0002.csv
1649,005,7.746,7.746,7.746=Pythagoras,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_826.csv
1673,001,7.21;7.22;7.60,7.21;7.22;7.60,7.21-7.22+7.60=tlg-0211,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_834.csv
0183,001,9.602,9.602,9.602=tlg-0182 Euenus Grammaticus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/range_inferred_batch_10_checkpoint_04.csv
0196,001,7.167,7.167,7.167=tlg-0173 Dioscorides,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_132.csv
4060,001,9.597,9.597,9.597=tlg-4058 Cometas Chartularius,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b32_batch_0004.csv
0131,001,7.50,7.50,7.50=tlg-0552,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b11_batch_0003.csv
0198,001,5.161;5.199;6.292;11.123;11.414,5.199;6.292;11.123;11.414,5.161=tlg-0137 Asclepiades; remaining loci=tlg-0198,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_134.csv
0022,006,7.435;7.526;9.503b,7.435;7.526,9.503b absent from author record tlg-0022 and no passage page,INCOMPLETE_CANON_LOCUS_COVERAGE,data/research_batches/detailed_verified_3001_batch_599.csv
4040,011,9.203,9.203,9.203=tlg-9016,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_433.csv
1640,001,7.314,7.314,7.314=tlg-0363 Claudius Ptolemaeus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_821.csv
4048,001,16.379,16.379,16.379=tlg-4049 Thomas,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_444.csv
4049,001,16.315,16.315,16.315=tlg-4048 Thomas,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_444.csv
1735,002,10.38;11.296,11.296,10.38=tlg-0167 Dionysius; 11.296=tlg-1735,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_858.csv
0076,001,9.30,9.30,9.30=tlg-0143 Lollius Bassus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_625.csv
0590,004,7.315;16.14,16.14,7.315=tlg-0219 Rhianus; 16.14=tlg-0590,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_749.csv
1755,001,6.15;6.183;6.184;6.185;9.40,6.183;6.184;6.185;9.40,6.15=tlg-0113 Antipater; remaining loci=tlg-1755,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_867.csv
0191,001,9.17;9.18;9.387,9.17;9.18,9.387=tlg-0195 Hadrianus; 9.17-9.18=tlg-0191,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_52.csv
0170,001,7.462;7.716,7.716,7.462=tlg-0167 Dionysius; 7.716=tlg-0170,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/range_inferred_batch_10_checkpoint_03.csv
0171,001,5.81;11.182,5.81,11.182=tlg-0167 Dionysius; 5.81=tlg-0171,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b43_batch_0002.csv
0175,001,7.261;7.420,7.420,7.261=tlg-0174 Diotimus Epicus; 7.420=tlg-0175,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/range_inferred_batch_10_checkpoint_03.csv
0176,001,5.106;9.391,5.106,9.391=tlg-0174 Diotimus Epicus; 5.106=tlg-0176,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/range_inferred_batch_10_checkpoint_03.csv
1290,001,1.218,,,NO_PASSAGE_OR_AUTHOR_RECORD_FOR_CANON_LOCUS,data/research_batches/tlg_3001_4500_b34_batch_0004.csv
0006,031,10.107;10.107b,10.107,10.107b absent from author record tlg-0006 and no passage page,INCOMPLETE_CANON_LOCUS_COVERAGE,data/research_batches/range_inferred_batch_01_checkpoint_01.csv
0199,009,6.53;6.313;13.28,6.53;6.313,13.28=tlg-0261 Simonides; remaining loci=tlg-0199,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_3001_4500_b21_batch_0004.csv
0274,001,9.36;9.260;9.301;16.214,9.260;9.301;16.214,9.36=tlg-0118 Antiphilus; remaining loci=tlg-0274,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_657.csv
2680,001,12.22;12.232,12.22;12.232,12.22+12.232=tlg-0259 Scythinus Philosophus,LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/tlg_1501_3000_b3_cont9_checkpoint_01.csv
1616,001,5.68;9.746;11.38,9.746;11.38,5.68=tlg-1468 Lucillius; remaining loci=tlg-1616,ONE_CANON_LOCUS_TLG_ATTRIBUTION_MISMATCH,data/research_batches/detailed_verified_3001_batch_813.csv
0102,001,6.228;6.258;7.51;7.238;7.240;7.305;7.694;9.300;9.303;9.544;10.20,6.228;6.258;7.51;7.238;7.240;7.694;9.300;9.303;9.544;10.20,7.305 assigned to author record 102 without tlg-0102; remaining loci=tlg-0102,ONE_CANON_LOCUS_IDENTIFIER_MISMATCH,data/research_batches/detailed_verified_3001_batch_638.csv
