tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
0013,031,HYMNI HOMERICI,In Solem,"In Solem, ed. Allen, Halliday, and Sikes, op. cit., 89–90. Cod: 126: Hymn.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0013,032,HYMNI HOMERICI,In Lunam,"In Lunam, ed. Allen, Halliday, and Sikes, op. cit., 90–91. Cod: 125: Hymn.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0013,033,HYMNI HOMERICI,In Dioscuros,"In Dioscuros, ed. Allen, Halliday, and Sikes, op. cit., 91–92. Cod: 118: Hymn.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0013,034,HYMNI HOMERICI,Εἰς ξένους,"Εἰς ξένους, ed. Allen, Halliday, and Sikes, op. cit., 92. Cod: 30: Hymn.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,001,DEMOSTHENES Orat.,Olynthiaca 1,"Olynthiaca 1, ed. S. H. Butcher, Demosthenis orationes, vol. 1, Oxford: Clarendon Press, 1903 (repr. 1966): [9–17]. Cod: 1,835: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,002,DEMOSTHENES Orat.,Olynthiaca 2,"Olynthiaca 2, ed. Butcher, op. cit., vol. 1, [18–27]. Cod: 2,045: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,003,DEMOSTHENES Orat.,Olynthiaca 3,"Olynthiaca 3, ed. Butcher, op. cit., vol. 1, [28–39]. Cod: 2,358: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,004,DEMOSTHENES Orat.,Philippica 1,"Philippica 1, ed. Butcher, op. cit., vol. 1, [40– 55]. Cod: 3,287: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,005,DEMOSTHENES Orat.,De pace,"De pace, ed. Butcher, op. cit., vol. 1, [57–63]. Cod: 1,457: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,006,DEMOSTHENES Orat.,Philippica 2,"Philippica 2, ed. Butcher, op. cit., vol. 1, [65– 74]. Cod: 1,996: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0014,007,DEMOSTHENES Orat.,De Halonneso,"De Halonneso, ed. Butcher, op. cit., vol. 1, [76–88]. Cod: 2,444: Orat.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
