tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
0731,003,ADAMANTIUS Judaeus Med.,Physiognomonica (epitome Matritensis),"Physiognomonica (epitome Matritensis), ed. Foerster, op. cit., 320–347, 351–359, 386– 424. Cod: 3,442: Physiognom.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0731/tlg003/tlg0731.tlg003.1st1K-grc1.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,001,ALEXANDER Phil.,De mixtione,"De mixtione, ed. I. Bruns, Alexandri Aphrodisiensis praeter commentaria scripta minora [Commentaria in Aristotelem Graeca suppl. 2.2. Berlin: Reimer, 1892]: 213–238. Cod: 10,007: Med., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg001/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,002,ALEXANDER Phil.,Problemata (lib. 1–2) [Sp.],"Problemata (lib. 1–2) [Sp.], ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 3–80. Cod: 23,407: Med., Nat. Hist. Cf. et 0732 017.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
0732,003,ALEXANDER Phil.,De febribus [Sp.],"De febribus [Sp.], ed. Ideler, op. cit., 81–106. Cod: 8,133: Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg003/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,004,ALEXANDER Phil.,In Aristotelis metaphysica commentaria,"In Aristotelis metaphysica commentaria, ed. M. Hayduck, Alexandri Aphrodisiensis in Aristotelis metaphysica commentaria [Commentaria in Aristotelem Graeca 1. Berlin: Reimer, 1891]: 1–837. Cod: 337,311: Comm., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg004/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,005,ALEXANDER Phil.,In Aristotelis analyticorum priorum librum i commentarium,"In Aristotelis analyticorum priorum librum i commentarium, ed. M. Wallies, Alexandri in Aristotelis analyticorum priorum librum i commentarium [Commentaria in Aristotelem Graeca 2.1. Berlin: Reimer, 1883]: 1–418. Cod: 159,703: Comm., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg005/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,006,ALEXANDER Phil.,In Aristotelis topicorum libros octo commentaria,"In Aristotelis topicorum libros octo commentaria, ed. M. Wallies, Alexandri Aphrodisiensis in Aristotelis topicorum libros octo commentaria [Commentaria in Aristotelem Graeca 2.2. Berlin: Reimer, 1891]: 1–591. Cod: 185,346: Comm., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg006/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,007,ALEXANDER Phil.,In librum de sensu commentarium,"In librum de sensu commentarium, ed. P. Wendland, Alexandri in librum de sensu commentarium [Commentaria in Aristotelem Graeca 3.1. Berlin: Reimer, 1901]: 1–173. Cod: 50,841: Comm., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg007/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,008,ALEXANDER Phil.,In Aristotelis meteorologicorum libros commentaria,"In Aristotelis meteorologicorum libros commentaria, ed. M. Hayduck, Alexandri Aphrodisiensis in Aristotelis meteorologicorum libros commentaria [Commentaria in Aristotelem Graeca 3.2. Berlin: Reimer, 1899]: 1–227. Cod: 84,547: Comm., Nat. Hist., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg008/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
0732,010,ALEXANDER Phil.,De anima,"De anima, ed. Bruns, Alexandri Aphrodisiensis praeter commentaria scripta minora [Commentaria in Aristotelem Graeca, suppl. 2.1. Berlin: Reimer, 1887]: 1–100. Cod: 30,935: Comm., Phil.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,Exact TLG work path found locally; edition/extent must be checked.,sources/upstream/first1kgreek/data/tlg0732/tlg010/__cts__.xml,See upstream repository license.,,,,high,TEXT_OPEN_UNVERIFIED,inspect CTS metadata and license,Individual exact-ID match; no OCR used.,2026-08-11
