priority,scan_identifier,works_covered,tlg_notices,title,creator,year,rights,license_url,jp2_archive_present,jp2_filename,jp2_bytes,jp2_sha1,ppi,scandata_filename,recommendation,notes
1,fragmentahistori04mueluoft,21,"2151.002 Fragmentum, FHG 4 | 2157.003 Fragmentum, FHG 4 | 2158.002 Fragmentum, FHG 4 | 2182.003 Fragmenta, FHG 4 | 2190.002 Fragmenta, FHG 4 | 2193.002 Fragmenta, FHG 4 | 2194.002 Fragmenta, FHG 4 | 2171.002 Fragmenta, FHG 4 | 2173.002 Fragmenta, FHG 4 | 2202.002 Fragmenta, FHG 4 | 2203.002 Fragmenta, FHG 4 | 2204.002 Fragmenta, FHG 4 | 2205.002 Fragmentum, FHG 4 | 2210.002 Fragmenta, FHG 4 | 2213.002 Fragmenta, FHG 4 | 2215.002 Fragmenta, FHG 4 | 2216.003 Fragmenta, FHG 4 | 2217.002 Fragmentum, FHG 4 | 2195.002 Fragmenta, FHG 4 | 2196.002 Fragmenta, FHG 4 | 2201.002 Fragmenta, FHG 4","Fragmenta historicorum graecorum ... auxerunt, notis et prolegomenis illustrarunt, indici plenissimo instruxerunt Car. et Theod. Mulleri. Accedunt marmora parium et rosettanum, hoc cum Letronnii, illud cum C. Mulleri commentariis","['Mueller, Karl, Historian', 'Mueller, Theodor', 'Langlois, Victor, 1829-1869']",,,,True,fragmentahistori04mueluoft_jp2.zip,793907832,e85c8f04caf79510e0b9efa40977b272f8c32507,400,,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
2,fragmentahistori02unse,4,"2160.002 Fragmenta, FHG 2 | 2186.003 Fragmentum, FHG 2 | 2172.002 Fragmentum, FHG 2 | 2219.003 Fragmenta, FHG 2",Fragmenta historicorum graecorum,,,,,True,fragmentahistori02unse_jp2.zip,497961624,29e237dd59fd126c632908eabbfd6f83d9210806,360,fragmentahistori02unse_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
3,cuafragmentahist03mull,4,"2162.003 Fragmenta, FHG 3 | 2141.003 Fragmenta, FHG 3 | 2187.002 Fragmenta, FHG 3 | 2192.002 Fragmentum, FHG 3","Fragmenta historicorum graecorum ... : Apollodori bibliotheca cum fragmentis auxerunt, volume 3","['Müller, Karl,philologist', 'Müller, Theodor,1816-1881']",1878,,,True,cuafragmentahist03mull_jp2.zip,198470247,b9e5161c75cb50a91dc6f1a5c1967f8061524e48,,cuafragmentahist03mull_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
4,diefragmentederv01dieluoft,19,2231.001 Testimonia | 2232.001 Testimonia | 2232.002 Fragmenta | 2234.001 Testimonia | 2235.001 Testimonia | 2237.001 Testimonia | 2239.001 Testimonia et fragmenta | 2240.001 Testimonia | 2241.001 Testimonia | 2242.001 Testimonia | 2244.001 Testimonium | 2245.001 Testimonia | 2246.001 Testimonia | 2218.001 Testimonia | 2225.001 Testimonia | 2226.001 Testimonia | 2227.001 Testimonium | 2228.001 Testimonia | 2229.001 Testimonium,"Die Fragmente der Vorsokratiker, griechisch und deutsch","Diels, Hermann, 1848-1922",,,,True,diefragmentederv01dieluoft_jp2.zip,209108717,c04304a9874a3b87c61d4c92a90dbe87d53cead0,400,diefragmentederv01dieluoft_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
5,stoicorumveterum0001arni,3,2185.001 Fragmenta | 2168.001 Fragmenta | 2169.001 Fragmenta,Stoicorum veterum fragmenta collegit Ioannes ab Arnim ..,"Arnim, Hans Friedrich August von, 1859-1931",,,,True,stoicorumveterum0001arni_jp2.zip,107280413,0aa15a6ae45f9116e803d3000de02a42deac7802,300,stoicorumveterum0001arni_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
6,apocryphaanecdot00jame,2,2243.001 Apocalypsis Sedrach | 2248.001 Acta Xanthippae et Polyxenae,"Apocrypha anecdota, a collection of thirteen apocryphal books and fragments ..","James, M. R. (Montague Rhodes), 1862-1936",,,,True,apocryphaanecdot00jame_jp2.zip,70137441,292cf855ebdf8bb9b9b7a2596433598de367663c,400,apocryphaanecdot00jame_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
7,comicorumatticor03kockuoft,2,0407.001 Fragmenta | 2218.001 Fragmenta,Comicorum atticorum fragmenta,"Kock, Theodor, 1820-1901",,,,True,comicorumatticor03kockuoft_jp2.zip,376102790,aca3d383868ac11e7786ebd3630f5bbe493ad0f8,400,,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
8,fragmentacomicor04meinuoft,2,0407.002 Fragmenta | 2218.002 Fragmentum,Fragmenta comicorum graecorum,"Meineke, August, 1790-1870",,,,True,fragmentacomicor04meinuoft_jp2.zip,374984087,c19acea5ce375cb4ff4d11408ba51829bf6709fd,500,,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
9,collectiondesan00bertgoog,2,2181.001 Μωσέως δίπλωσις | 2181.002 Εὐποία καὶ εὐτυχία … μακροχρονία βίου,Collection des anciens alchimistes grecs,Marcellin Berthelot,1888,,,False,,,,,collectiondesan00bertgoog_scandata.xml,REJECT,Journal-linked candidates; edition/concordance and visual quality still require review. No images/OCR downloaded.
10,hephaestionisenc00hephuoft,8,1402.001-005;2178.004;4093.007;2656.001,"Hephaestionis Enchiridion, cum commentariis veteribus edidit Maximilianus Consbruch. Accedunt variae metricorum graecorum reliquiae",Hephaestion / Max Consbruch,1906,Public-domain-era edition; no explicit IA rights field,,True,hephaestionisenc00hephuoft_jp2.zip,137681828,eb41603b58ed53319aee4ddc06e0570f04e7bbfe,500,,READY,Exact Consbruch 1906 edition; eight Canon notices mapped; Greek sample visually verified; queued for remote-only ingestion.
