priority,scan_identifier,works_covered,tlg_notices,title,creator,year,rights,license_url,jp2_archive_present,jp2_filename,jp2_bytes,jp2_sha1,ppi,scandata_filename,recommendation,notes
21,michandreopulili00sind,2,3118.001 Liber Suntipae | 3118.002 Liber Suntipae (recensio altera),Mich. Andreopuli Liber Syntipae,"['Sindbād, the philosopher', 'Andreopōlos, Michaēl, 11th cent', 'Nikitin, P. (Petr), 1849-1916', 'Ernshtedt, V. (Viktor), 1854-1902']",,,,True,michandreopulili00sind_jp2.zip,127745349,afd8f4a2ad8f59b3f5fd5c667c81c85374625540,350,michandreopulili00sind_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
22,comicorumatticor02kockuoft,2,0405.001 Fragmenta | 0406.001 Fragmenta,Comicorum atticorum fragmenta,"Kock, Theodor, 1820-1901",,,,True,comicorumatticor02kockuoft_jp2.zip,257012934,b954eba45a0dff5cd553d3884bde6a771c8e9ee0,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
23,fragmentacomicor03meinuoft,2,0405.002 Fragmenta | 0406.002 Fragmenta,Fragmenta comicorum graecorum,"Meineke, August, 1790-1870",,,,True,fragmentacomicor03meinuoft_jp2.zip,295741647,784189d4a24da5e7d1ce9c4460931db6eaf6be99,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
24,commentariaina20akaduoft,2,4033.001 In ethica Nicomachea ii–v commentaria | 4033.002 In ethica Nicomachea vii commentaria,Commentaria in Aristotelem graeca. Edita consilio et auctoritate Academiae litterarum regiae borussicae,"Akademie der Wissenschaften, Berlin",,,,True,commentariaina20akaduoft_jp2.zip,158671954,2188eebe89504a971f4b3181c074ccab8413711a,400,commentariaina20akaduoft_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
25,p1rhetoresgraeci07walzuoft,2,"5024.017 Prolegomena in librum περὶ εὑρέσεως | 5024.018 Commentarium in librum περὶ στάσεων, ANONYMI IN OPPIANI OPERA","Rhetores graeci ... Emendatiores et auctiores edidit, suis aliorumque annotationibus instruxit indices locupletissimos","Walz, Christian, 1802-1857",,,,True,p1rhetoresgraeci07walzuoft_jp2.zip,295623176,0c816b195cf2e9accbacd4ae95ef4c135e07246c,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
26,p2rhetoresgraeci07walzuoft,2,5024.019 Commentarium in librum περὶ εὑρέσεως | 5024.020 Commentarium in librum περὶ ἰδεῶν,"Rhetores graeci ... Emendatiores et auctiores edidit, suis aliorumque annotationibus instruxit indices locupletissimos","Walz, Christian, 1802-1857",,,,True,p2rhetoresgraeci07walzuoft_jp2.zip,369331827,8591202c264a5e0518d8ba2e59b45c5c44a084eb,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
27,CatalogusCodicumAstrologorumGraec8p3,2,"2577.003 Περὶ γεννήσεως [Dub.] (excerptum e cod. Paris. gr. 2381, fol. 56) | 1144.004 Fragmenta (e cod. Paris.)",Catalogus codicum astrologorum graecorum. VIII. Codicum parisinorum partem tertiam descripsit Petrus Boudreaux,"Boudreaux, Pierre, 1882-1914",,,http://creativecommons.org/publicdomain/mark/1.0/,True,Catalogus_codicum_astrologorum_graec_8p3_jp2.zip,50621608,8f1514a2a5c21cf5c1d55e6ff4308a2f3ea49862,72,Catalogus_codicum_astrologorum_graec_8p3_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
28,india.history.resource.71426,2,2029.001 Anonymi summaria ratio geographiae in sphaera intelligendae | 0092.001 Geographiae expositio compendiaria,"Geographi Graeci Minores, e Codicibus recognovit, prolegomenis annotatione indicibus instruxit, tabulis aeri incisi illustravit, Vol. II","Mullerus, Carolus",,,,True,71426_jp2.zip,633692322,3ffef6f61d31ce178dec7f51cc08b972486c57b6,300,71426_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
29,antilegomenadier00preu,1,1560.001 Matthiae traditiones,Antilegomena : Die Reste der ausserkanonischen Evangelien und urchristlichen Überlieferungen,"Preuschen, Erwin, 1867-1920",,,,True,antilegomenadier00preu_jp2.zip,74407647,af72d0ae6b8ac34120e712fb97e5c8e223f6b140,400,antilegomenadier00preu_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
30,collectiondesan04bertgoog,1,"2019.001 Πελαγίου φιλοσόφου περὶ τῆς θείας ταύτης καὶ ἱερᾶς τέχνης (e cod. Venet. Marc. 299, fol. 62v)",Collection des anciens alchimistes grecs,"Berthelot, M. (Marcellin), 1827-1907",1887,,,False,,,,,collectiondesan04bertgoog_scandata.xml,REJECT,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
