tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
0087,002,Aelius HERODIANUS et Pseudo-,De enclisi (epitome ap. Arcadium),"De enclisi (epitome ap. Arcadium), ed. Lentz, op. cit., vol. 3.1, 551–564. Q: 2,779: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg002.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,003,Aelius HERODIANUS et Pseudo-,Περὶ κυρίων καὶ ἐπιθέτων καὶ προσηγορικῶν μονόβιβλον,"Περὶ κυρίων καὶ ἐπιθέτων καὶ προσηγορικῶν μονόβιβλον, ed. Lentz, op. cit., vol. 3.2 (1870; repr. 1965) 1–6. Q: 1,742: Gramm.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
0087,004,Aelius HERODIANUS et Pseudo-,Περὶ διχρόνων,"Περὶ διχρόνων, ed. Lentz, op. cit., vol. 3.2, 7–20. Cod: 3,928: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg004.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,005,Aelius HERODIANUS et Pseudo-,Περὶ πνευμάτων,"Περὶ πνευμάτων, ed. Lentz, op. cit., vol. 3.2, 20. Q: 65: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg005.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,006,Aelius HERODIANUS et Pseudo-,Περὶ Ἀττικῆς προσῳδίας,"Περὶ Ἀττικῆς προσῳδίας, ed. Lentz, op. cit., vol. 3.2, 20–21. Q: 143: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg006.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,007,Aelius HERODIANUS et Pseudo-,Περὶ Ἰλιακῆς προσῳδίας,"Περὶ Ἰλιακῆς προσῳδίας, ed. Lentz, op. cit., vol. 3.2, 22–128. Cod: 36,525: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg007.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,008,Aelius HERODIANUS et Pseudo-,Περὶ Ὀδυσσειακῆς προσῳδίας,"Περὶ Ὀδυσσειακῆς προσῳδίας, ed. Lentz, op. cit., vol. 3.2, 129–165. Cod: 8,796: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg008.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,009,Aelius HERODIANUS et Pseudo-,Περὶ παθῶν,"Περὶ παθῶν, ed. Lentz, op. cit., vol. 3.2, 166– 389. Q: 38,533: Gramm. Cf. et 0087 034.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg009.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,010,Aelius HERODIANUS et Pseudo-,Περὶ συντάξεως τῶν στοιχείων,"Περὶ συντάξεως τῶν στοιχείων, ed. Lentz, op. cit., vol. 3.2, 390–406. Q: 5,904: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg010.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
0087,011,Aelius HERODIANUS et Pseudo-,Περὶ ὀρθογραφίας,"Περὶ ὀρθογραφίας, ed. Lentz, op. cit., vol. 3.2, 407–611. Q: 52,982: Gramm.",base-3; exact URN in licensed local TEI checkout,Exact Greek TEI located; compare edition and bounds before integration.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0087.tlg011.1st1K-grc1/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,high,TEXT_OPEN_UNVERIFIED,compare TEI coverage and edition against Canon,No third-party OCR or images used.,2026-08-11
