tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
1443,003,IGNATIUS Scr. Eccl.,Fragmenta (e cod. Florent. Laur. 6.4) [Sp.],"Fragmenta (e cod. Florent. Laur. 6.4) [Sp.], ed. J. H. Crehan, A new fragment of Ignatius' Ad Polycarpum in Studia Patristica, 1 [Texte und Untersuchungen 63. Berlin: Akademie-Verlag, 1957]: 24. Cod: 220: Epist.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
3282,001,ILIAS BYZANTINA,Ilias byzantina (e cod. Paris. suppl. gr. 926),"Ilias byzantina (e cod. Paris. suppl. gr. 926), ed. L. Nørgaard and O. L. Smith, A byzantine Iliad. The Text of Par. Suppl. Gr. 926 [Opuscula Graecolatina. Supplementa Musei Tusculani 5. Copenhagen: Museum Tusculanum, 1975]: 23–62. Cod: 8,436: Epic.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
1444,001,ILIAS PARVA,Ilias parva (fragmenta),"Ilias parva (fragmenta), ed. A. Bernabé, Poetarum epicorum Graecorum testimonia et fragmenta, pt. 1, Leipzig: Teubner, 1987: 76–78, 80–86. Pap, Q: 323: Epic. frr. 1–2, 5, 9, 21, 23–24, 26–29, 32. fr. 23: Leschae fragmentum dubium. ILIU PERSIS frr. 24, 26–27: incerti operis fragmenta. frr. 28–29: alterius Iliadis parvae fragmenta. fr. 32: dubium est. Dup. Ilias parva (fragmenta), ed. T. W. Allen, Homeri opera, vol. 5. Oxford: Clarendon Press, (1912): 129–133, 135.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
1445,001,ILIU PERSIS,Iliu persis (fragmenta),"Iliu persis (fragmenta), ed. A. Bernabé, Poetarum epicorum Graecorum testimonia et fragmenta, pt. 1, Leipzig: Teubner, 1987: 89, 91–92. Q: 88: Epic. frr. 3–7. Dup. Iliou persis (fragmenta), ed. T. W. Allen, Homeri opera, vol. 5. Oxford: Clarendon Press, (1912): 138–140.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
4189,001,INNOCENTIUS Epist. et Theol.,Epistula episcoporum monophysitarum ad Julianum imperatorem,"Epistula episcoporum monophysitarum ad Julianum imperatorem, ed. E. W. Brooks, Historia ecclesiastica Zachariae rhetori vulgo adscripta, vol. 2 [Corpus scriptorum Christianorum orientalium 87. Louvain: Peeters, 1953]: 115–122. Q: Epist.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
3409,001,IOBIUS Theol.,"De incarnatione (CPG 6984), MPG 86.2: 3313–3320. Cod: Theol","De incarnatione (CPG 6984), MPG 86.2: 3313–3320. Cod: Theol.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
1446,001,ION Eleg.,Fragmentum,"Fragmentum, ed. E. Diehl, Anthologia lyrica Graeca, fasc. 1, 3rd edn., Leipzig: Teubner, 1949: 87. Epigr: 26: Epigr.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
1446,002,ION Eleg.,"Epigramma, AG: 7.43. Q: 26: Epigr. AG 7.44: Cf. ANONYMI EPIGRAMMATICI (0138 001)","Epigramma, AG: 7.43. Q: 26: Epigr. AG 7.44: Cf. ANONYMI EPIGRAMMATICI (0138 001).",base-3; Perseus Greek Anthology TEI,Cited AG epigram(s) are to be verified in the open Greek Anthology TEI; edition differs.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc8/,CC-BY-SA-4.0 declared in TEI,No scan needed before textual comparison.,,,medium,TEXT_OPEN_UNVERIFIED,compare each cited AG epigram against a critical source,Content-level match only; no third-party OCR or images used.,2026-08-11
0308,001,ION Phil. et Poeta,Fragmenta,"Fragmenta, ed. B. Snell, Tragicorum Graecorum fragmenta, vol. 1, Göttingen: Vandenhoeck & Ruprecht, 1971: 96–114. Q: 517: Satyr., Trag. frr. 1–29, 31–43, 43b–43c, 44–68.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
0308,002,ION Phil. et Poeta,Fragmenta,"Fragmenta, ed. M. L. West, Iambi et elegi Graeci, vol. 2, Oxford: Clarendon Press, 1972: 78–80. Q: 216: Eleg. frr. 26–30, 32.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
