tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
2131,001,PHILISCUS Epigr.,"Epigramma, AG 11.441","Anthologia Graeca 11.441",base-3; Perseus Greek Anthology TEI,"The cited epigram is represented in the open Greek Anthology TEI; locus comparison remains.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc8:11.441/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare author attribution and locus,"No third-party OCR used.",2026-08-11
2133,001,ACHILLES TATIUS Astron.,Isagoga excerpta,"E. Maass, Commentariorum in Aratum reliquiae (1898), 27–75",base-3; First1KGreek; Internet Archive catalog,"No exact open Greek transcription found in base corpora.",,,"Historical edition scan candidate located; images not inspected.",https://archive.org/search?query=title%3A%22Commentariorum+in+Aratum+reliquiae%22,"Public-domain historical edition; provider image reuse and quality unverified.",medium,SCAN_CANDIDATE,identify exact IA item and inspect cited pages,"No provider OCR accepted.",2026-08-11
2134,001,ZENO Phil.,Fragmenta,"Angeli and Colaizzo, Cronache Ercolanesi 9 (1979), 72, 75–82, 85",base-3; papyri/specialist lookup,"No reusable open Greek text found.",,,,,,high,BLOCKED_RIGHTS,seek papyrus images and pre-1979 independent witnesses,"Modern article excluded; no third-party OCR used.",2026-08-11
2134,002,ZENO Phil.,Fragmenta incerta,"Angeli and Colaizzo, Cronache Ercolanesi 9 (1979), 85–86",base-3; papyri/specialist lookup,"No reusable open Greek text found.",,,,,,high,BLOCKED_RIGHTS,seek papyrus images and pre-1979 independent witnesses,"Modern article excluded; no third-party OCR used.",2026-08-11
2135,001,ALYPIUS Mus.,Isagoge musica,"Zanoncelli (1990), 367–460",base-3; First1KGreek,"Open Greek TEI exists, but it encodes Jan 1895 rather than the 1990 canonical edition.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2135/tlg001/tlg2135.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare scope against 1990 edition,"First1K metadata names Jan 1895; no third-party OCR used.",2026-08-11
2135,002,ALYPIUS Mus.,Isagoge musica,"K. Jan, Musici scriptores Graeci (1895), 367–406",base-3; First1KGreek,"Exact historic edition is encoded as open Greek TEI.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2135/tlg001/tlg2135.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,verify completeness and encoding,"No third-party OCR used.",2026-08-11
2136,001,BACCHIUS GERON Mus.,Isagoge artis musicae,"Zanoncelli (1990), 252–284",base-3; First1KGreek,"Open Greek TEI exists, but it encodes Jan 1895 rather than the 1990 canonical edition.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2136/tlg001/tlg2136.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare scope against 1990 edition,"No third-party OCR used.",2026-08-11
2136,002,BACCHIUS GERON Mus.,Isagoge artis musicae,"K. Jan, Musici scriptores Graeci (1895), 292–316",base-3; First1KGreek,"Exact historic edition is encoded as open Greek TEI.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2136/tlg001/tlg2136.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,verify completeness and encoding,"No third-party OCR used.",2026-08-11
2137,001,GAUDENTIUS Mus. et Phil.,Harmonica introductio,"Zanoncelli (1990), 327–350",base-3; First1KGreek,"Open Greek TEI exists, but it encodes Jan 1895 rather than the 1990 canonical edition.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2137/tlg001/tlg2137.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare scope against 1990 edition,"No third-party OCR used.",2026-08-11
2137,002,GAUDENTIUS Mus. et Phil.,Harmonica introductio,"K. Jan, Musici scriptores Graeci (1895), 327–355",base-3; First1KGreek,"Exact historic edition is encoded as open Greek TEI.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2137/tlg001/tlg2137.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,verify completeness and encoding,"No third-party OCR used.",2026-08-11
2138,001,CANTICUM EURIPIDIS,"Ex Orestis stasimo i (P. Vindob. 2315)","K. Jan, Musici scriptores Graeci (1895), 430",base-3; First1KGreek,"Exact historic edition is encoded as open Greek TEI.",https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg2138/tlg001/tlg2138.tlg001.1st1K-grc1.xml,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,verify papyrus scope and completeness,"No third-party OCR used.",2026-08-11
