tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
2865,004,OLYMPIODORUS Scr. Eccl.,"Commentarii in Lamentationes (in catenis), MPG 93: 725–761. Q: 6,048: Caten., Exeget","Commentarii in Lamentationes (in catenis), MPG 93: 725–761. Q: 6,048: Caten., Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2865,005,OLYMPIODORUS Scr. Eccl.,"Commentarii in Baruch (in catenis), MPG 93: 761–773. Q: 2,033: Caten., Exeget","Commentarii in Baruch (in catenis), MPG 93: 761–773. Q: 2,033: Caten., Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2865,006,OLYMPIODORUS Scr. Eccl.,"Commentarii in Jeremiae epistulam, MPG 93: 773–780. Cod: 834: Exeget","Commentarii in Jeremiae epistulam, MPG 93: 773–780. Cod: 834: Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2865,007,OLYMPIODORUS Scr. Eccl.,"Contra Severum Antiochenum (fragmentum ap. Pseudo-Anastasium Sinaitam, Contra monophysitas), MPG 89: 1189. Q: 32: Theol","Contra Severum Antiochenum (fragmentum ap. Pseudo-Anastasium Sinaitam, Contra monophysitas), MPG 89: 1189. Q: 32: Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2865,009,OLYMPIODORUS Scr. Eccl.,"Fragmentum in illud: Gaudete in illa die [Sp.], MPG 93: 780. Cod: 225: Exeget","Fragmentum in illud: Gaudete in illa die [Sp.], MPG 93: 780. Cod: 225: Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2866,001,OECUMENIUS Philosophus Exeget. et,Commentarius in Apocalypsin,"Commentarius in Apocalypsin, ed. H. C. Hoskier, The complete commentary of Oecumenius on the Apocalypse, Ann Arbor: University of Michigan Press, 1928: 29–260. Cod: 54,456: Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2867,001,Pseudo-ANDRONICUS Scriptor Catalogi,Περὶ τάξεως ποιητῶν (pseudepigraphum a Constantino Palaeocappa confectum) (e cod. Paris. 2929),"Περὶ τάξεως ποιητῶν (pseudepigraphum a Constantino Palaeocappa confectum) (e cod. Paris. 2929), ed. W. J. W. Koster, Prolegomena de comoedia. Scholia in Acharnenses, Equites, Nubes [Scholia in Aristophanem 1.1A. Groningen: Bouma, 1975]: 115–116. Cod: Gramm.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2868,001,Pseudo-CAESARIUS Theol.,Quaestiones et responsiones,"Quaestiones et responsiones, ed. R. Riedinger, Pseudo-Kaisarios. Die Erotapokriseis [Die griechischen christlichen Schriftsteller der ersten Jahrhunderte. Berlin: Akademie-Verlag, 1989]: 1–231. Cod: 75,510: Theol. PSEUDO-CALLISTHENES A.D. 3? Cf. HISTORIA ALEXANDRI MAGNI (1386).",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2869,001,Theodorus ANAGNOSTES Hist. et Scr.,Fragmentum historiae ecclesiasticae (liber A),"Fragmentum historiae ecclesiasticae (liber A), ed. G. C. Hansen, Theodoros Anagnostes. Kirchengeschichte, 2nd edn. [Die griechischen christlichen Schriftsteller der ersten Jahrhunderte. Neue Folge 3. Berlin: Akademie - Verlag, 1995]: 1. Cod: 249: Eccl., Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2869,002,Theodorus ANAGNOSTES Hist. et Scr.,Epitome historiae tripartitae,"Epitome historiae tripartitae, ed. Hansen, op. cit., 2–95. Cod: 16,680: Eccl., Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
