tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
2959,008,METHODIUS Episcopus Scr. Eccl.,De martyribus (fragmenta),"De martyribus (fragmenta), ed. Bonwetsch, op. cit., 520. Q: Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2959,009,METHODIUS Episcopus Scr. Eccl.,Fragmentum de resurrectione (e cod. Vat. gr. 2022) [Sp.],"Fragmentum de resurrectione (e cod. Vat. gr. 2022) [Sp.], ed. Bonwetsch, op. cit., 423– 424. Cod: Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2959,010,METHODIUS Episcopus Scr. Eccl.,Fragmenta incerta [Sp.],"Fragmenta incerta [Sp.], ed. Bonwetsch, op. cit., 520–521. Q: Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2959,011,METHODIUS Episcopus Scr. Eccl.,In Genesim (in catenis),"In Genesim (in catenis), ed. R. Devreesse, Les anciens commentateurs de l'Octateuque et des Rois [Studi e Testi 201. Città del Vaticano: Biblioteca Apostolica Vaticana, 1959]: 54. Q: Caten., Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2959,012,METHODIUS Episcopus Scr. Eccl.,"Sermo de Simeone et Anna [Sp.], MPG 18: 348–381. Cod: Homilet","Sermo de Simeone et Anna [Sp.], MPG 18: 348–381. Cod: Homilet.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2959,013,METHODIUS Episcopus Scr. Eccl.,"Sermo in ramos palmarum [Sp.], MPG 18: 384–397. Cod: Homilet","Sermo in ramos palmarum [Sp.], MPG 18: 384–397. Cod: Homilet.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2960,001,ORACULA TIBURTINA,Prophetia,"Prophetia, ed. P. J. Alexander, The oracle of Baalbek. The Tiburtine Sibyl in Greek dress [Dumbarton Oaks Studies 10. Washington, D.C.: Dumbarton Oaks, 1967]: 9–22. Cod: 2,158: Orac.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2961,001,PAMPHILUS Scr. Eccl.,Fragmentum in Psalmum 71 (in catenis) [Sp.],"Fragmentum in Psalmum 71 (in catenis) [Sp.], ed. J. B. Pitra, Analecta sacra spicilegio Solesmense parata, vol. 3, Venice: St. Lazarus Monastery, 1883: 469–470. Q: Caten., Exeget.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2963,001,PIERIUS Scr. Eccl.,Fragmentum (ap. Philippum Sidensem),"Fragmentum (ap. Philippum Sidensem), ed. C. de Boor, Neue Fragmente des Papias, Hegesippus und Pierius in bisher unbekannten Excerpten aus der Kirchengeschichte des Philippus Sidetes [Texte und Untersuchungen 5.2. Leipzig: Hinrichs, 1888]: 170–171. Q: Eccl.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
2964,001,THEOGNOSTUS Scr. Eccl.,Hypotyposes (fragmenta),"Hypotyposes (fragmenta), ed. A. von Harnack, Die Hypotyposen des Theognostus [Texte und Untersuchungen 24.3. Leipzig: Hinrichs, 1903]: 75–78. Cod",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR used.,2026-08-11
