tlg_id,result,source,notes
2342.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2343.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2344.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2344.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2345.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2345.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2345.003,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2346.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2346.002,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2347.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2348.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2349.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2349.002,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2350.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2350.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2351.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2351.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2352.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2353.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2354.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2354.002,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2355.001,SCAN_CANDIDATE,https://archive.org/details/diefragmentederv01dieluoft,historical predecessor; inspect; no OCR
2356.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2357.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2357.002,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
