tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
2202,002,[MENYLLUS] Hist.,"Fragmenta, FHG 4","FHG 4, 452–453",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited pages; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect pp.452–453 before remote ingestion,"No provider OCR accepted.",2026-08-11
2203,001,[THEOPHILUS] Hist.,"Fragmenta, FGrH #296","FGrH 3A, 179–180",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2203,002,[THEOPHILUS] Hist.,"Fragmenta, FHG 4","FHG 4, 515–517",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited pages; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect pp.515–517 before remote ingestion,"No provider OCR accepted.",2026-08-11
2204,001,AUTOCRATES Hist.,"Fragmenta, FGrH #297","FGrH 3B, 1",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2204,002,AUTOCRATES Hist.,"Fragmenta, FHG 4","FHG 4, 346",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited page; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect p.346 before remote ingestion,"No provider OCR accepted.",2026-08-11
2205,001,AUTESION Hist.,"Fragmenta, FGrH #298","FGrH 3B, 1",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2205,001,AUTESION Hist.,"Fragmentum, FGrH #249","FGrH 2B, 1130",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2205,002,AUTESION Hist.,Fragmenta,"Mette (1978), 25",base-3; papyri/specialist lookup,"No reusable open Greek text found.",,,,,,high,BLOCKED_RIGHTS,seek P. Oxy. 26.2442 images and earlier witness,"Modern article excluded; no third-party OCR used.",2026-08-11
2205,002,AUTESION Hist.,"Fragmentum, FHG 4","FHG 4, 346",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited page; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect p.346 before remote ingestion,"No provider OCR accepted.",2026-08-11
2206,001,[DIOCLES] Hist.,"Fragmentum, FGrH #302","FGrH 3B, 5",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2207,001,ATHANIDAS Hist.,"Fragmentum, FGrH #303","FGrH 3B, 5–6",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2208,001,DEMETRIUS Hist.,"Testimonium, FGrH #304","FGrH 3B, 7",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2208,002,DEMETRIUS Hist.,"Fragmentum, FGrH #304","FGrH 3B, 7",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2209,001,CHERSIPHRON-METAGENES Hist.,"Testimonium, FGrH #420","FGrH 3B, 316",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2210,001,ANAXICRATES Hist.,"Fragmenta, FGrH #307","FGrH 3B, 13–14",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2210,002,ANAXICRATES Hist.,"Fragmenta, FHG 4","FHG 4, 301–302",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited pages; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect pp.301–302 before remote ingestion,"No provider OCR accepted.",2026-08-11
2211,001,TELESARCHUS Hist.,"Fragmentum, FGrH #308","FGrH 3B, 15",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2212,001,LYCEAS Hist.,"Fragmenta, FGrH #312","FGrH 3B, 21–22",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2212,002,LYCEAS Hist.,Titulus,"Lloyd-Jones and Parsons (1983), 257",base-3; specialist lookup,"No reusable open Greek text found.",,,,,,high,BLOCKED_RIGHTS,seek inscription image and pre-1983 edition,"Modern edition excluded; no third-party OCR used.",2026-08-11
2213,001,[TIMOTHEUS] Hist.,"Fragmenta, FGrH #313","FGrH 3B, 22",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2213,002,[TIMOTHEUS] Hist.,"Fragmenta, FHG 4","FHG 4, 522–523",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited pages; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect pp.522–523 before remote ingestion,"No provider OCR accepted.",2026-08-11
2214,001,ARCHITIMUS Hist.,"Fragmentum, FGrH #315","FGrH 3B, 25–26",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,low,EDITION_IDENTIFIED,locate lawful FGrH access or individual witness,"No third-party OCR used.",2026-08-11
2215,001,AR(I)AETHUS Hist.,"Fragmenta, FGrH #316","FGrH 3B, 26–30",base-3; FGrH lookup,"No exact reusable Greek text found.",,,,,,medium,EDITION_IDENTIFIED,locate lawful FGrH access or individual witnesses,"No third-party OCR used.",2026-08-11
2215,001,AR(I)AETHUS Hist.,Fragmentum,"Thesleff (1965), 51",base-3; specialist lookup,"No reusable open Greek text found.",,,,,,high,BLOCKED_RIGHTS,seek older independent witness,"Modern edition excluded; no third-party OCR used.",2026-08-11
2215,002,AR(I)AETHUS Hist.,"Fragmenta, FHG 4","FHG 4, 318–319",base-3; Internet Archive FHG catalog,"No open transcription found.",,,"Historical FHG 4 scan candidate covers cited pages; quality uninspected.",https://archive.org/details/fragmentahistori04mueluoft,"Public-domain historical edition; provider reuse and quality unverified.",high,SCAN_CANDIDATE,inspect pp.318–319 before remote ingestion,"No provider OCR accepted.",2026-08-11
