tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
1530,001,NICANOR Gramm.,"Testimonium, FGrH #628",FGrH 3C,"base-3; DFHG inventories; web search","No exact text found.",,,,,low,EDITION_IDENTIFIED,locate FGrH/concordance,2026-08-11
1530,002,NICANOR Gramm.,"Fragmenta, FGrH #628",FGrH 3C,"base-3; DFHG inventories; web search","No exact text found.",,,,,low,EDITION_IDENTIFIED,locate FGrH/concordance,2026-08-11
1530,003,NICANOR Gramm.,"Περὶ Ἰλιακῆς στιγμῆς",L. Friedländer (1857),"base-3; Google Play/Books; web search","No open transcription found.",,,"Exact 1857 digital book is available as a free Google Play item; image export/reuse unverified.",https://play.google.com/store/books/details/Nicanor_Nicanoris_Peri_Iliak%C4%93s_stigm%C4%93s_reliquiae_e?id=cVIVAAAAQAAJ,uncleared,high,SCAN_CANDIDATE,inspect 141–278 and find direct image provider,No OCR used,2026-08-11
1530,004,NICANOR Gramm.,"Περὶ Ὀδυσσειακῆς στιγμῆς",O. Carnuth (1875),"base-3; Open Library/IA; web search","No open transcription found.",,,"Exact 1875 IA item is listed by Open Library; image quality uninspected.",https://archive.org/details/4737915,"Public-domain edition; provider rights/quality need review.",high,SCAN_CANDIDATE,inspect pp.21–68,No OCR used,2026-08-11
1530,005,NICANOR Gramm.,"Fragmenta, FHG 3:632–634",C. Müller FHG vol.3,"base-3; DFHG volume3 inventory; DDB","No author-specific DFHG XML found; volume scan candidate exists.",,,"FHG3 complete scan candidate.",https://www.deutsche-digitale-bibliothek.de/item/YQQGJUF4WDU6R54VMQOD6WUAZ7ZX5MVH,"DDB non-commercial reuse restriction.",medium,SCAN_RESTRICTED,find unrestricted duplicate,2026-08-11
1531,001,NICARCHUS I Epigr.,"Epigrammata, AG 6/7/9",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","All cited AG loci available in open Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc6:6.31/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare cited loci,2026-08-11
1532,001,NICARCHUS II Epigr.,"Epigrammata, AG 5/9/11",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","All cited AG loci available in open Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc6:5.38/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare all listed loci,2026-08-11
1533,001,NICIAS Epigr.,"Epigrammata, AG 6/7/9/16",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","Cited AG loci available in open Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc6:6.122/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare cited loci,2026-08-11
1533,002,NICIAS Epigr.,Fragmentum,Lloyd-Jones and Parsons (1983),"base-3; specialist repositories; web search","No open text found.",,,,,medium,BLOCKED_RIGHTS,seek ancient witness/older edition,2026-08-11
1534,001,NICOCLES Hist.,"Fragmenta, FGrH #587",FGrH 3B,"base-3; DFHG volume4 inventory","No exact FGrH transcription found.",,,,,low,EDITION_IDENTIFIED,concord FGrH/FHG,2026-08-11
1534,002,NICOCLES Hist.,"Fragmenta, FHG 4:464–465",C. Müller FHG vol.4,"base-3; DFHG volume4 inventory; Google Books","No author-specific DFHG XML found; FHG4 scan candidate.",,,"Full-view scan candidate.",https://books.google.com/books?id=quBFAQAAMAAJ,uncleared,medium,SCAN_CANDIDATE,inspect pages,2026-08-11
1535,001,NICOCRATES Hist.,"Fragmenta, FGrH #376",FGrH 3B,"base-3; DFHG inventories; Papyri search","No exact collection found; P.Mich. witness needs a separate rights/text check.",,,,,low,EDITION_IDENTIFIED,locate witness transcription/concordance,2026-08-11
1535,002,NICOCRATES Hist.,"Fragmenta, FHG 4:465–466",C. Müller FHG vol.4,"base-3; DFHG volume4 inventory; Google Books","No author-specific DFHG XML found; FHG4 scan candidate.",,,"Full-view scan candidate.",https://books.google.com/books?id=quBFAQAAMAAJ,uncleared,medium,SCAN_CANDIDATE,inspect pages,2026-08-11
1536,001,NICODEMUS Epigr.,"Epigrammata, AG 6/9",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","Cited epigrams available in Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc6:6.314/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare loci,2026-08-11
1537,001,NICOMACHUS Epigr.,"Epigramma, AG 7.299",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","Cited epigram available in Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc7:7.299/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare locus,2026-08-11
1538,001,NICOMACHUS Hist.,"Fragmentum, FGrH #662",FGrH 3C,"base-3; DFHG inventories; web search","No exact text found.",,,,,low,EDITION_IDENTIFIED,find FGrH scan/concordance,2026-08-11
1540,001,NOSSIS Epigr.,"Epigrammata, AG 5/6/7/9",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","Cited epigrams available in open Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc6:5.170/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare loci,2026-08-11
1541,001,NOSTOI,"Nostoi (fragmenta)",A. Bernabé (1987),"base-3; specialist repositories; web search","No reusable complete Greek text found.",,,,,medium,BLOCKED_RIGHTS,seek ancient witnesses/pre-1987 editions,2026-08-11
1543,001,NUMENIUS Epigr.,"Epigramma, AG 12.28",Anthologia Graeca,"base-3; Perseus Greek Anthology TEI","Cited epigram available in Paton TEI.",https://scaife.perseus.org/reader/urn:cts:greekLit:tlg7000.tlg001.perseus-grc9:12.28/,CC-BY-SA-4.0,,,,high,TEXT_OPEN_UNVERIFIED,compare locus,2026-08-11
1544,001,NYMPHIS Hist.,"Testimonia, FGrH #432",FGrH 3B,"base-3; DFHG volume3","DFHG older FHG dossier available, not exact Jacoby testimonia.",https://github.com/DFHG-project/volume_3/blob/master/data/epidoc_xml/NYMPHIS_HERACLEOTA.xml,CC-BY-SA-4.0,,,,medium,TEXT_PARTIAL,map to FGrH,2026-08-11
1544,002,NYMPHIS Hist.,"Fragmenta, FGrH #432",FGrH 3B,"base-3; DFHG volume3","DFHG older FHG dossier available, non-identical arrangement.",https://github.com/DFHG-project/volume_3/blob/master/data/epidoc_xml/NYMPHIS_HERACLEOTA.xml,CC-BY-SA-4.0,,,,medium,TEXT_PARTIAL,map to FGrH,2026-08-11
1544,003,NYMPHIS Hist.,"Fragmenta, FHG 3:13–16",C. Müller FHG vol.3,"base-3; DFHG volume3","DFHG EpiDoc transcription exists.",https://github.com/DFHG-project/volume_3/blob/master/data/epidoc_xml/NYMPHIS_HERACLEOTA.xml,CC-BY-SA-4.0,"FHG3 scan located.",https://www.deutsche-digitale-bibliothek.de/item/YQQGJUF4WDU6R54VMQOD6WUAZ7ZX5MVH,"DDB non-commercial restriction.",high,TEXT_OPEN_UNVERIFIED,compare pp.13–16,2026-08-11
1545,001,OCELLUS Phil.,"De universi natura [Sp.]",R. Harder (1926),"base-3; Google Books; DDB; Biblissima","No open critical text for Harder; a 1646 Greek/Latin edition is digitized full-view.",,,"Complete 1646 Greek/Latin scan candidate; also manuscript witnesses via Biblissima.",https://books.google.com/books?id=YkB9bIOoT6gC,"Public-domain edition; provider reuse not checked.",high,SCAN_CANDIDATE,inspect 1646 Greek pages and compare to Harder,2026-08-11
1545,002,OCELLUS Phil.,"Fragmenta [Sp.]",R. Harder (1926),"base-3; Google Books; DDB","No open text for Harder; older Ocellus edition may cover fragments incompletely.",,,"1768 Greek/French scan located but DDB reuse-restricted.",https://www.deutsche-digitale-bibliothek.de/item/JV4ISOJNBVAHDMXDPDAZMWCHHFUEXCDJ,"No Copyright – Non-Commercial Use Only.",medium,SCAN_RESTRICTED,find unrestricted early edition,2026-08-11
1545,003,OCELLUS Phil.,Testimonia,Diels/Kranz 1951,"base-3; Internet Archive Diels 1903/1907; web search","No open 1951 text; historical Diels predecessor digitized.",,,"Historical Diels volume 2 scan candidate.",https://archive.org/details/diefragmenteder02diel,"Public-domain historical edition; review required.",medium,SCAN_CANDIDATE,map predecessor text to 1951,2026-08-11
