tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
1567,001,PARRHASIUS Epigr.,Epigrammata,"Epigrammata, ed. E. Diehl, Anthologia lyrica Graeca, fasc. 1, 3rd edn., Leipzig: Teubner, 1949: 110–111. Q: 63: Epigr. frr. 1–3.",base-3; exact-title/edition web lookup,No reusable open Greek text or exact high-quality scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level scan and witness search,no third-party OCR used,2026-08-11
1568,001,PARTHAX Hist.,"Fragmenta, FGrH #825: 3C:898. Q: Hist","Fragmenta, FGrH #825: 3C:898. Q: Hist.",base-3; exact-title/edition web lookup,No exact reusable FGrH transcription or rights-cleared scan verified.,,,,,,low,EDITION_IDENTIFIED,locate FGrH scan or concord individual witnesses,do not substitute FHG without a concordance,2026-08-11
1568,002,PARTHAX Hist.,"Fragmentum, FHG 4: 466–467. Q: 75: Hist. fr. 1","Fragmentum, FHG 4: 466–467. Q: 75: Hist. fr. 1.",base-3; exact-title/edition web lookup,No author-specific reusable transcription verified; exact historical FHG volume is digitized.,,,full-view historical FHG scan candidate,https://books.google.com/books?id=quBFAQAAMAAJ,public-domain printing; provider image-reuse terms require confirmation,medium,SCAN_CANDIDATE,inspect cited pages and image quality before remote ingestion,no provider OCR accepted,2026-08-11
2479,001,PATROCLES Hist.,"Testimonia, FGrH #712: 3C:597–598. NQ: Test","Testimonia, FGrH #712: 3C:597–598. NQ: Test.",base-3; exact-title/edition web lookup,No exact reusable FGrH transcription or rights-cleared scan verified.,,,,,,low,EDITION_IDENTIFIED,locate FGrH scan or concord individual witnesses,do not substitute FHG without a concordance,2026-08-11
2479,002,PATROCLES Hist.,"Fragmenta, FGrH #712: 3C:598–601. Q: Hist","Fragmenta, FGrH #712: 3C:598–601. Q: Hist.",base-3; exact-title/edition web lookup,No exact reusable FGrH transcription or rights-cleared scan verified.,,,,,,low,EDITION_IDENTIFIED,locate FGrH scan or concord individual witnesses,do not substitute FHG without a concordance,2026-08-11
2479,003,PATROCLES Hist.,"Fragmenta, FHG 2: 443–444. Q: 452: Hist. frr. 1–7 Dup. partim 2479 002","Fragmenta, FHG 2: 443–444. Q: 452: Hist. frr. 1–7 Dup. partim 2479 002.",base-3; exact-title/edition web lookup,No author-specific reusable transcription verified; exact historical FHG volume is digitized.,,,full-view historical FHG scan candidate,https://books.google.com/books?id=UckWAAAAQAAJ,public-domain printing; provider image-reuse terms require confirmation,medium,SCAN_CANDIDATE,inspect cited pages and image quality before remote ingestion,no provider OCR accepted,2026-08-11
2053,001,PAULUS Astrol.,Elementa apotelesmatica,"Elementa apotelesmatica, ed. E. Boer, Pauli Alexandrini elementa apotelesmatica, Leipzig: Teubner, 1958: 1–100. Cod: 14,734: Astrol.",base-3; exact-title/edition web lookup,No reusable open Greek text or rights-cleared scan verified for the cited modern edition.,,,,,,medium,BLOCKED_RIGHTS,seek an older independent edition or individual ancient witnesses,modern scholarly edition excluded; no third-party OCR used,2026-08-11
2053,002,PAULUS Astrol.,Anacephalaeosis,"Anacephalaeosis, ed. Boer, op. cit., xxi–xxiv. Cod: 980: Astrol. PAULUS",base-3; exact-title/edition web lookup,No reusable open Greek text or rights-cleared scan verified for the cited modern edition.,,,,,,medium,BLOCKED_RIGHTS,seek an older independent edition or individual ancient witnesses,modern scholarly edition excluded; no third-party OCR used,2026-08-11
2875,002,PAULUS Helladicus Epist.,Epistula,"Epistula, ed. V. Lundström, Anecdota byzantina e codicibus Upsaliensibus [Collectio Scriptorum veterum Uppsaliensis 1. Uppsala-Leipzig: Libraria Lundequistiana-Harrassowitz, 1902]: 17–23. Cod: 1,604: Epist.",base-3; exact-title/edition web lookup,No reusable open Greek text or exact high-quality scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level scan and witness search,no third-party OCR used,2026-08-11
2784,001,PAULUS Scr. Eccl.,"Fragmentum in Lucam 23,33 (CPG 6370)","Fragmentum in Lucam 23,33 (CPG 6370), ed. A. Mai, Scriptorum veterum nova collectio e Vaticanibus codicibus, vol. 9, Rome, 1837: 713. Cod: Exeget.",base-3; exact-title/edition web lookup,No reusable open Greek text or exact high-quality scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level scan and witness search,no third-party OCR used,2026-08-11
