tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
3369,005,DANIEL SCETIOTA Hagiogr.,Thomais Alexandrina B,"Thomais Alexandrina B, ed. B. Dahlman, op. cit., 134–138. Cod: 617: Biogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3369,006,DANIEL SCETIOTA Hagiogr.,De virgine ebria,"De virgine ebria, ed. Dahlman, op. cit., 140– 146. Cod: 1,001: Hagiogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3369,007,DANIEL SCETIOTA Hagiogr.,Eulogius latomus,"Eulogius latomus, ed. Dahlman, op. cit., 148–164. Cod: 2,211: Hagiogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3369,008,DANIEL SCETIOTA Hagiogr.,Andronicus et Athanasia,"Andronicus et Athanasia, ed. Dahlman, op. cit., 166–178. Cod: 1,828: Hagiogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3369,009,DANIEL SCETIOTA Hagiogr.,Anastasia Patricia,"Anastasia Patricia, ed. Dahlman, op. cit., 180–186. Cod: 791: Hagiogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
2615,001,DAPHITAS Gramm. vel Soph.,Fragmentum,"Fragmentum, ed. H. Lloyd-Jones and P. Parsons, Supplementum Hellenisticum, Berlin: De Gruyter, 1983: 173. Q: 13: Epigr. fr. 370.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
2615,x01,DAPHITAS Gramm. vel Soph.,Epigramma irrisorium. App. Anth. 5.20: Cf. ANTHOLOGIAE GRAECAE APPENDIX (7052 005). Dup. 2615 001,Epigramma irrisorium. App. Anth. 5.20: Cf. ANTHOLOGIAE GRAECAE APPENDIX (7052 005). Dup. 2615 001.,Canon cross-reference,No independent acquisition: Canon directs material to host work.,,,No existing approved scan record in scan_sources.csv.,,,high,CROSS_REFERENCE,follow cited host; do not duplicate,Not a standalone target.,2026-08-11
3123,001,Theodorus DAPHNOPATES Scr. Eccl.,Epistulae,"Epistulae, ed. J. Darrouzès and L. G. Westerink, Théodore Daphnopatès. Correspondance, Paris: Centre National de la Recherche Scientifique, 1978: 31–231. Cod: 30,258: Epist.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3123,002,Theodorus DAPHNOPATES Scr. Eccl.,"Vita sancti Theodori Studitae [Dub.] (BHG 1755), MPG 99: 113–232. Cod: 23,832: Hagiogr","Vita sancti Theodori Studitae [Dub.] (BHG 1755), MPG 99: 113–232. Cod: 23,832: Hagiogr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
3123,003,Theodorus DAPHNOPATES Scr. Eccl.,Oratio de nativitate sancti Joannis Baptistae praecursoris Domini (BHG 845),"Oratio de nativitate sancti Joannis Baptistae praecursoris Domini (BHG 845), ed. V. Latysev, ""Θεοδώρου τοῦ Δαφνοπάτου λόγοι δύο,"" Pravoslavnyj Palestinskij Sbornik 59 (1910) 3–14. Cod: 3,039: Hagiogr. Dup. MPG 84, 33–48.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
