tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
4169,003,DOMNINUS Math. et Phil.,Scholia in Nicomachum [Sp.],"Scholia in Nicomachum [Sp.], ed. Riedlberger, op. crit., 128–134 (even pages). Cod: 1,692: Comm., Math., Phil.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
2622,001,DORIEUS Poeta,Epigramma,"Epigramma, ed. H. Lloyd-Jones and P. Parsons, Supplementum Hellenisticum, Berlin: De Gruyter, 1983: 182. Q: 53: Epigr.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
2622,x01,DORIEUS Poeta,Epigramma demonstrativum. App. Anth. 3.95: Cf. ANTHOLOGIAE GRAECAE APPENDIX (7052 003). Dup. 2622 001,Epigramma demonstrativum. App. Anth. 3.95: Cf. ANTHOLOGIAE GRAECAE APPENDIX (7052 003). Dup. 2622 001.,Canon cross-reference,No independent acquisition: Canon directs material to host work.,,,No existing approved scan record in scan_sources.csv.,,,high,CROSS_REFERENCE,follow cited host; do not duplicate,Not a standalone target.,2026-08-11
1335,x01,DORION Scr. Rerum Nat.,"Fragmenta ap. Athenaeum. Deipnosophistae 7.287c, 300f, 319d, 330a. Cf. ATHENAEUS Soph. (0008 001)","Fragmenta ap. Athenaeum. Deipnosophistae 7.287c, 300f, 319d, 330a. Cf. ATHENAEUS Soph. (0008 001).",Canon cross-reference,No independent acquisition: Canon directs material to host work.,,,No existing approved scan record in scan_sources.csv.,,,high,CROSS_REFERENCE,follow cited host; do not duplicate,Not a standalone target.,2026-08-11
1337,001,DOROTHEUS Astrol.,Fragmenta Graeca,"Fragmenta Graeca, ed. D. Pingree, Dorothei Sidonii carmen astrologicum, Leipzig: TeubDOROTHEUS ner, 1976: 323–330, 332–427. Cod, Q: 26,974: Astrol.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
1337,002,DOROTHEUS Astrol.,Fragmenta e Hephaestionis Ἀποτελεσματικῶν libris hausta,"Fragmenta e Hephaestionis Ἀποτελεσματικῶν libris hausta, ed. Pingree, op. cit., 427–434. Q: 1,303: Astrol.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
1337,003,DOROTHEUS Astrol.,Fragmenta alia antiqua,"Fragmenta alia antiqua, ed. Pingree, op. cit., 435–437. Cod: 381: Astrol.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check; local First1KGreek TEI exact identifier",Open licensed TEI found for exact TLG work.,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg1337.tlg003.1st1K-grc1:1,https://creativecommons.org/licenses/by-sa/4.0/ Available under a Creative Commons Attribution-ShareAlike 4.0 International License,No existing approved scan record in scan_sources.csv.,,,high,TEXT_OPEN_UNVERIFIED,compare Canon boundaries and source edition,Open TEI present locally; no provider OCR used.,2026-08-11
1336,001,DOROTHEUS Hist.,"Testimonium, FGrH #145: 2B:813. NQ: Test","Testimonium, FGrH #145: 2B:813. NQ: Test.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check; FGrH/FHG inventory",No explicit reusable transcription found.,,,No existing approved scan record in scan_sources.csv.,,,low,EDITION_IDENTIFIED,locate unrestricted historical scan or map earlier witness,No provider OCR may be used.,2026-08-11
1336,002,DOROTHEUS Hist.,"Fragmenta, FGrH #145: 2B:813–814. Q: Hist., Nat. Hist. Dup. partim [DOROTHEUS] Hist. (2197 001)","Fragmenta, FGrH #145: 2B:813–814. Q: Hist., Nat. Hist. Dup. partim [DOROTHEUS] Hist. (2197 001).","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check; FGrH/FHG inventory",No explicit reusable transcription found.,,,No existing approved scan record in scan_sources.csv.,,,low,EDITION_IDENTIFIED,locate unrestricted historical scan or map earlier witness,No provider OCR may be used.,2026-08-11
2197,001,[DOROTHEUS] Hist.,"Fragmenta, FGrH #289: 3A:172–173. Q: Hist., Nat. Hist. Dup. partim DOROTHEUS Hist. (1336 002). 9085 <DOROTHEUS MONEMBASIAE> Hist. A.D. 16–17: Monembasiensis","Fragmenta, FGrH #289: 3A:172–173. Q: Hist., Nat. Hist. Dup. partim DOROTHEUS Hist. (1336 002). 9085 <DOROTHEUS MONEMBASIAE> Hist. A.D. 16–17: Monembasiensis","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check; FGrH/FHG inventory",No explicit reusable transcription found.,,,No existing approved scan record in scan_sources.csv.,,,low,EDITION_IDENTIFIED,locate unrestricted historical scan or map earlier witness,No provider OCR may be used.,2026-08-11
2197,001,[DOROTHEUS] Hist.,Liber historicus,"Liber historicus, ed. A. Tzigaras, Βιβλίον Ἱστορικὸν περιέχον ἐν συνόψει διαφόρους καὶ ἐξόχους ἱστορίας. Ἀρχόμενον ἀπὸ κτίσεως κόσμου, μέχρι τῆς ἁλώσεως Κωνσταντινουπόλεως, καὶ τῶν ἀκολούθων Σουλτάνων ἄχρι τοῦ παρόντος χρόνου, ͵αψπαʹ, Βενετία: Παρὰ Νικολάῳ Γλυκεῖ τῷ ἐξ Ἰωαννίνων, 1781: 11–555. Cod: Chronogr., Hist.","base-3 (Perseus, First1KGreek, PTA); exact identifier/title check",No reusable complete Greek text found.,,,No existing approved scan record in scan_sources.csv.,,,medium,BLOCKED_RIGHTS,seek older open edition or individual witness,Canon edition not reusable without explicit licence.,2026-08-11
