tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
5515,001,MANUEL CORINTHIUS Hagiogr. et,Acoluthia sancti Michaeli Mauroeidis,"Acoluthia sancti Michaeli Mauroeidis, ed. D. Sophianos, Ὁ νεομάρτυρας Μιχαὴλ Μαυροειδὴς ὁ Ἀδριανουπολίτης († ca. 1490 Ἀδριανούπολη): Ἀνέκδοτα ἁγιολογικὰ κείμενα τοῦ μεγάλου ῥήτορος Μανουὴλ Κορινθίου κ.ἄ., Athens, 1984: 66–88. Cod: 2,693: Hagiogr., Liturg. Cf. et Joannes MOSCHUS Hagiogr. (5163 001).",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5515,002,MANUEL CORINTHIUS Hagiogr. et,Encomium in sanctum Michaelem Mauroeidem (e cod. Athon. Ivir. 512),"Encomium in sanctum Michaelem Mauroeidem (e cod. Athon. Ivir. 512), ed. Sophianos, op. cit., 89–105. Cod: 5,459: Encom., Hagiogr.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5515,003,MANUEL CORINTHIUS Hagiogr. et,Acoluthia et vita sancti Joannis Ferrarum vel Serrarum,"Acoluthia et vita sancti Joannis Ferrarum vel Serrarum, ed. A. D. Panagiotou, ""Μανουὴλ Κορινθίου ἀκολουθία Ἰωάννου Νεομάρτυρος τοῦ ἐν Σέρραις,"" Ἐπετηρὶς Ἑταιρείας Βυζαντινῶν Σπουδῶν 47 (1987–89) 426–445. Cod: 2,505: Hagiogr., Liturg.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5516,001,Georgius CONTES Scr. Eccl.,Paraphrases orationum sancti Joannis Chrysostomi in linguam vulgatam,"Paraphrases orationum sancti Joannis Chrysostomi in linguam vulgatam, ed. E. G. Varvounes, ""Δημώδεις ἀποδόσεις λόγων τοῦ Ἰωάννη τοῦ Χρυσοστόμου ἀπὸ τὸν Γεώργιο Κόντη,"" Ἐκκλησιαστικὸς Φάρος 77 (2006) 127–143. Cod: 4,818: Homilet., Transl. Cf. et JOANNES CHRYSOSTOMUS Scr. Eccl. (2062 276, 324).",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5517,001,JEREMIAS II Patriarcha Epist.,Epistula patriarchica,"Epistula patriarchica, ed. P. G. Zerlentis, ""Θεσσαλονικέων μητροπολῖται ἀπὸ Θεωνᾶ τοῦ ἀπὸ ἡγουμένων μέχρι Ἰωάσαφ Ἀργυροπούλου (1520–1578),"" Byzantinische Zeitschrift 12 (1903) 143–144. Cod: 488: Epist. JOANNES",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5518,001,DIONYSIUS II Patriarcha Epist. et,Epistula,"Epistula, ed. P. G. Zerlentis, ""Θεσσαλονικέων μητροπολῖται ἀπὸ Θεωνᾶ τοῦ ἀπὸ ἡγουμένων μέχρι Ἰωάσαφ Ἀργυροπούλου (1520–1578),"" Byzantinische Zeitschrift 12 (1903) 144–146. Cod: 522: Epist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5519,001,METROPHANES III Patriarcha Epist.,Epistula patriarchica,"Epistula patriarchica, ed. P. G. Zerlentis, ""Θεσσαλονικέων μητροπολῖται ἀπὸ Θεωνᾶ τοῦ ἀπὸ ἡγουμένων μέχρι Ἰωάσαφ Ἀργυροπούλου (1520–1578),"" Byzantinische Zeitschrift 12 (1903) 146–150. Cod: 1,582: Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5520,001,JEREMIAS I Patriarcha Epist.,Sigilium,"Sigilium, ed. D. Agoritsas, Βίος καὶ πολιτεία τῶν ὁσίων Νεκταρίου καὶ Θεοφάνους τῶν Ἀψαράδων κτιτόρων τῆς Ἱερᾶς Μονῆς Βαρλαάμ, Μετέωρα: Ἱερὰ Μονὴ Βαρλαὰμ, 2018: 163– 165, 211–213. Cod: 1,453: Eccl., Hagiogr.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5521,001,GREGORIUS III Patriarcha Scr. Eccl. et,"Apologia contra Ephesii confessionem, MPG 160: 13–109. Cod: 17,350: Apol., Theol","Apologia contra Ephesii confessionem, MPG 160: 13–109. Cod: 17,350: Apol., Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
5521,002,GREGORIUS III Patriarcha Scr. Eccl. et,"Responsio ad epistulam Marci Ephesii (ex variis sanctorum sententiis), MPG 160: 111–204. Cod: 19,791: Apol., Theol","Responsio ad epistulam Marci Ephesii (ex variis sanctorum sententiis), MPG 160: 111–204. Cod: 19,791: Apol., Theol.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
