tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
9600,001,Theodorus COLOCOTRONES Hist.,Διήγησις συμβάντων τῆς Ἑλληνικῆς φυλῆς (1770–1856) (scripta a Georgio Tertsete),"Διήγησις συμβάντων τῆς Ἑλληνικῆς φυλῆς (1770–1856) (scripta a Georgio Tertsete), ed. G. Tertsetes, Διήγησις Συμβάντων τῆς Ἑλληνικῆς Φυλῆς ἀπὸ τὰ 1770 ἕως τὰ 1856. Ὑπαγόρευσε Θεόδωρος Κωνσταντίνου Κολοκοτρώνης, Ἀθήναι: Τύποις Χ. Νικολίδου Φιλαδελφέως, 1846: 3–259. Print: 63,160: Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9600,002,Theodorus COLOCOTRONES Hist.,Testimonia,"Testimonia, ed. Tertsetes, op. cit., 273–290. Print: 3,578: Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9601,001,Joannes MACRYGIANNES Hist. et Epist.,Ἀπομνημονεύματα,"Ἀπομνημονεύματα, ed. J. Vlachogiannis, Ἀρχεῖον τοῦ στρατηγοῦ Ἰωάννου Μακρυγιάννη, vol. II [Ἀρχεῖα τῆς Νεωτέρας Ἑλληνικῆς Ἱστορίας 2. Athens: S. K. Vlastos, 1907]: 3–464. Print: 144,071: Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9601,002,Joannes MACRYGIANNES Hist. et Epist.,Autobiographiae,"Autobiographiae, ed. Vlachogiannis, op. cit., vol. II, 467–479. Print: 4,977: Hist. Autobiographia I, pp. 467–473. Autobiographia II, pp. 473–479.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9601,003,Joannes MACRYGIANNES Hist. et Epist.,Collectio epistularum,"Collectio epistularum, ed. Vlachogiannis, op. cit., vol. I, 1–469. Print: Epist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9602,001,Rhegas PHERAEUS Poeta,Φυσικῆς Ἀπάνθισμα,"Φυσικῆς Ἀπάνθισμα, ed. K. T. Petsios, ""Φυσικῆς Ἀπάνθισμα διὰ τοὺς Ἀγχίνους καὶ Φιλομαθεῖς Ἕλληνας,"" in P. M. Kitromelides (ed.), Ῥήγα Βελεστινλῆ Ἅπαντα τὰ Σωζόμενα, Δεύτερος τόμος, [Ἀθήνα: Βουλὴ τῶν Ἑλλήνων, 2002]: 35–199. Print: Nat. Hist.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9602,002,Rhegas PHERAEUS Poeta,Σχολεῖον τῶν ντελικάτων ἐραστῶν,"Σχολεῖον τῶν ντελικάτων ἐραστῶν, ed. P. S. Pistas, Σχολεῖον τῶν ντελικάτων ἐραστῶν ἤτοι βιβλίον ἠθικόν, περιέχον τὰ περίεργα συμβεβηκότα τῶν ὡραιοτέρων γυναικῶν τοῦ Παρισίου, ἀκμαζουσῶν κατὰ τὸν παρόντα αἰῶνα, Ἀθήνα: Βουλὴ τῶν Ἑλλήνων, 2001: 65–295. Print: Narr. Fict., Transl.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9602,003,Rhegas PHERAEUS Poeta,Ὁ Θούριος,"Ὁ Θούριος, ed. P. M. Kitromelides, ""Νέα Πολιτικὴ Διοίκησις τῶν κατοίκων τῆς Ῥούμελης, τῆς Μικρᾶς Ἀσίας, τῶν Μεσογείων Νήσων, καὶ τῆς Βλαχομπογδανίας,"" in P. M. Kitromelides (ed.), Ῥήγα Βελεστινλῆ Ἅπαντα τὰ Σωζόμενα, Τέταρτος τόμος, [Ἀθήνα: Βουλὴ τῶν Ἑλλήνων, 2002]: 73–77. Print: Poem.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9602,004,Rhegas PHERAEUS Poeta,Ἐγκόλπιον Στρατιωτικὸν,"Ἐγκόλπιον Στρατιωτικὸν, ed. P. M. Kitromelides, Παράρτημα: Ἐγκόλπιον Στρατιωτικὸν, Ἀθήνα: Βουλὴ τῶν Ἑλλήνων, 2000: 149–159, 161–166. Print: Poem. Ὕμνος Πατριωτικὸς, pp. 149–159. PHERECRATES Τί καρτερεῖτε, φίλοι καὶ ἀδελφοὶ, pp. 161–166.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
9602,005,Rhegas PHERAEUS Poeta,Ηθικὸς Τρίπους,"Ηθικὸς Τρίπους, ed. I. Di Salvo, ""Ὁ Ἠθικὸς Τρίπους,"" in P. M. Kitromelides (ed.), Ῥήγα Βελεστινλῆ Ἅπαντα τὰ Σωζόμενα,, Τρίτος τόμος, [Ἀθήνα: Βουλὴ τῶν Ἑλλήνων, 2000]: 55–129, 135–180, 185–208. Print: Narr. Fict. Τὰ Ὀλύμπια, pp. 55–129. Ἡ Βοσκοπούλα τῶν Ἄλπεων, pp. 135–180. Ὁ Πρῶτος Ναύτης (translatum ab Antonio Coronio), pp. 185–208.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,No third-party OCR used.,2026-08-11
