tlg_author_id,tlg_work_id,author,work_title,edition,scan_provider,scan_identifier,source_url,rights,image_format,image_count,source_archive_sha1,github_path,storage_status,ocr_source_used,quality_status,notes,last_checked
4036,002,PROCLUS Phil.,Hypotyposis astronomicarum positionum,"C. Manitius, Leipzig: Teubner, 1909; repr. Stuttgart: Teubner, 1974",Internet Archive,manitius-hypotyposis-astronomicarum-positionum-gr-lat-1909,https://archive.org/details/manitius-hypotyposis-astronomicarum-positionum-gr-lat-1909,Public Domain Mark 1.0,JP2,424,0fc05c79afb30d0b788086f528831f738b2c4afc,scans/tlg4036/tlg002/manitius-1909-reprint-1974,REMOTE_ONLY,no,SAMPLE_VISUALLY_GOOD,"Page centrale contrôlée; grec et apparat lisibles; contrôle exhaustif restant",2026-08-11
4036,006,PROCLUS Phil.,Institutio physica,"A. Ritzenfeld, Leipzig: Teubner, 1912",Internet Archive,ritzenfeld-institutio-physica-gr-lat-1912,https://archive.org/details/ritzenfeld-institutio-physica-gr-lat-1912,Public Domain Mark 1.0,JP2,92,9f88d0c7049d09daadf4c0fa128fd3e2e993a132,scans/tlg4036/tlg006/ritzenfeld-1912,REMOTE_ONLY,no,IMAGE_SET_VERIFIED,"92 images; archive et nombre d'images vérifiés; revue visuelle exhaustive restante",2026-08-11
1128,001,ANONYMI COMMENTARIUS IN,Commentarius in Platonis Theaetetum,"H. Diels and W. Schubart, Berlin: Weidmann, 1905",Internet Archive,anonymerkommenta00diel,https://archive.org/details/anonymerkommenta00diel,"Public-domain-era edition; no explicit IA rights field",JP2,114,2a6d863bdfe533c3c50ad11787b6c312096f9852,scans/tlg1128/tlg001/diels-schubart-1905,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact edition; one sample page checked; private repository",2026-08-11
4374,001,ANONYMI DE ASTROLOGIA DIALOGUS,De astrologia dialogus (= Hermippus),"W. Kroll and P. Viereck, Leipzig: Teubner, 1895",Internet Archive,anonymichristian00herm,https://archive.org/details/anonymichristian00herm,"Public-domain-era edition; no explicit IA rights field",JP2,114,d4abd1db21acd10b32f9924f3e7d5e12fd34481c,scans/tlg4374/tlg001/kroll-viereck-1895,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact edition; one Greek sample page checked; private repository",2026-08-11
2584,001,ANONYMI DE COMOEDIA,De comoedia,"G. Kaibel, Comicorum Graecorum fragmenta 1.1, Berlin: Weidmann, 1899",Internet Archive,comicorumgraecor11kaib,https://archive.org/details/comicorumgraecor11kaib,"Public-domain-era edition; no explicit IA rights field",JP2,280,2d4c12bc09236904f04a76d214f5df6766cbbab4,scans/tlg2584/tlg001/kaibel-1899,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact edition; archive has 280 JP2 while IA imagecount reports 278; clear Greek sample; volume may cover further works",2026-08-11
4031,002,EUSTRATIUS Phil.,In Aristotelis ethica Nicomachea i commentaria,"G. Heylbut, CAG 20, Berlin: Reimer, 1892",Internet Archive,commentariaina20akaduoft,https://archive.org/details/commentariaina20akaduoft,"Public-domain-era edition; no explicit IA rights field",JP2,688,2188eebe89504a971f4b3181c074ccab8413711a,scans/volumes/cag20-heylbut-1892,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact volume shared by four TLG works; sample page checked",2026-08-11
4033,001,ANONYMI IN ARISTOTELIS ETHICA,In ethica Nicomachea ii-v commentaria,"G. Heylbut, CAG 20, Berlin: Reimer, 1892",Internet Archive,commentariaina20akaduoft,https://archive.org/details/commentariaina20akaduoft,"Public-domain-era edition; no explicit IA rights field",JP2,688,2188eebe89504a971f4b3181c074ccab8413711a,scans/volumes/cag20-heylbut-1892,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact volume shared by four TLG works; Greek p.129 checked",2026-08-11
4033,002,ANONYMI IN ARISTOTELIS ETHICA,In ethica Nicomachea vii commentaria,"G. Heylbut, CAG 20, Berlin: Reimer, 1892",Internet Archive,commentariaina20akaduoft,https://archive.org/details/commentariaina20akaduoft,"Public-domain-era edition; no explicit IA rights field",JP2,688,2188eebe89504a971f4b3181c074ccab8413711a,scans/volumes/cag20-heylbut-1892,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact volume shared by four TLG works",2026-08-11
4034,001,MICHAEL Phil.,In ethica Nicomachea ix-x commentaria,"G. Heylbut, CAG 20, Berlin: Reimer, 1892",Internet Archive,commentariaina20akaduoft,https://archive.org/details/commentariaina20akaduoft,"Public-domain-era edition; no explicit IA rights field",JP2,688,2188eebe89504a971f4b3181c074ccab8413711a,scans/volumes/cag20-heylbut-1892,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact volume shared by four TLG works",2026-08-11
0721,017,ANONYMI MEDICI,De cibis,"F. Z. Ermerins, Anecdota medica Graeca, Leiden: Luchtmans, 1840",Internet Archive,anecdotamedicagr00erme,https://archive.org/details/anecdotamedicagr00erme,"Public-domain-era edition; no explicit IA rights field",JP2,358,f98ed892ac490ee4ccac832e9eb1b07a77c90149,scans/tlg0721/tlg017/ermerins-1840,REMOTE_PENDING,no,SAMPLE_VISUALLY_GOOD,"Exact edition; sample within canonical pages is clear; private repository",2026-08-11
