tlg_author_id,tlg_work_id,work_title
2074,001,Fides secundum partem
2074,002,De unione corporis et divinitatis in Christo
2074,003,De fide et incarnatione contra adversarios
2074,004,De unione (fragmentum)
2074,005,De incarnatione (fragmenta)
2074,006,Laudatio Mariae et de incarnatione
2074,007,Demonstratio de divina incarnatione ad similitudinem hominis (fragmenta)
2074,008,In dei in carne manifestationem (fragmenta)
2074,009,Ad illos qui hominem a verbo assumptum fuisse dicebant (fragmentum)
2074,010,Syllogismi (fragmenta)
2074,011,Contra Diodorum ad Heraclium (fragmenta)
2074,012,Ad Diodorum (fragmenta)
2074,013,Recapitulatio (fort. epitome)
2074,014,Ad Flavianum (fragmenta)
2074,015,Ad Petrum (fragmentum)
2074,016,Ad Julianum (fragmenta)
2074,017,Sermones (fragmenta)
2074,018,Fragmentum dialogi
2074,019,Quod deus in carne Christus (fragmentum)
2074,020,Ad Jovianum
2074,021,Ad Serapionem (fragmenta)
2074,022,Ad Terentium (fragmenta)
2074,023,Ad episcopos Diocaesarienses
2074,024,Epistula ad Dionysium 1
2074,025,Epistula ad Dionysium 2 (fragmentum)
2074,026,Tomus synodalis
2074,027,Fragmenta ex operibus incertis
2074,028,De incarnatione (fragmenta)
