tlg_id,work_title
4191.001,"Commentarium in analytica posteriora (fragmentum) (ex editione Aldina)"
4191.002,"Commentarium in analytica posteriora (excerpta e cod. Paris. 1917)"
4190.001,"Commentarium in analytica priora (excerpta e cod. Paris. gr. 1917)"
4190.002,"Commentarium in analytica priora (excerptum e cod. Paris. gr. 1918)"
4190.003,"Commentarium in analytica priora (excerpta e cod. Paris. gr. 1919)"
4190.004,"Commentarium in analytica priora (excerpta e cod. Paris. gr. 2061)"
4194.003,"Commentarium in physica (excerptum e cod. Vat. gr. 1730)"
4194.004,"Scholia in physica (excerpta e cod. Vat. gr. 237)"
4194.005,"Commentarium in physica (excerpta e cod. Vat. Ottobon. 32)"
4194.006,"Scholion in physica (excerptum e cod. Paris. gr. 1853 in margine)"
4194.007,"Commentarium in physica (excerpta e cod. Paris. gr. 1947)"
4193.001,"Scholion in sophisticos elenchos (excerptum e cod. Paris. 1946 in margine)"
4192.001,"Commentarium in topica (excerptum e cod. Paris. 1843)"
4192.002,"Commentarium in topica (excerpta e cod. Paris. 1845)"
4192.003,"Commentarium in topica (excerpta e cod. Paris. 1874)"
4192.004,"Commentarium in topica (excerpta e cod. Paris. 1917)"
4192.005,"Commentarium in topica (excerpta e cod. Paris. 1972)"
4190.005,"Commentarium in analytica priora (excerpta e codd. Paris. gr. 1873 + 1917; Oxon. Bodl. 155 + Oxon. Nov. Colleg. 230)"
4027.002,"In categorias prolegomena (e cod. Vat. Urbin. gr. 35)"
4027.003,"Additamenta ad Ammonium in categorias (ex cod. Paris. 2051) (olim sub auctore Joanne Philopono)"
4195.001,"Commentarium in librum de caelo (excerptum e cod. Vat. gr. 499) (olim sub auctore Damascio)"
4195.002,"Commentarium in librum de caelo (fragmentum e codd. Marc. gr. 257 + 263) (olim sub auctore Joanne Philopono)"
4195.003,"Commentarium in librum de caelo (excerpta e cod. Paris. gr. 1853)"
4195.004,"Commentarium in librum de caelo (excerpta e cod. Paris. Coislin. 166)"
4165.002,"Commentarium in librum de interpretatione (= Anonymus Coislinianus) (fragmenta e cod. Coislin. 160)"
4196.001,"Commentarium in metaphysica (excerpta e cod. Paris. gr. 1853)"
4196.003,"Scholion in metaphysica (excerptum e cod. Coislin. 161 in margine)"
4194.001,"Commentarium in physica (excerptum e cod. Vat. gr. 1025)"
4194.002,"Commentarium in physica (excerpta e cod. Vat. gr. 1028)"
