tlg_author_id,tlg_work_id,printed_pages
0042,001,98–99
0043,001,100
2004,001,101
0037,001,102–105
1121,001,106
0618,001,107
0044,001,108–109
0038,001,131
0086,011,172–174
0045,001,175–176
0039,001,177–178
1803,001,178–191
0040,001,192
0386,001,193
0041,001,194–206
0622,001,207
0623,001,208–217
1298,001,218
1325,001,235–258
1327,001,259
4184,001,260–274
1367,001,275–279
0639,001,399
0052,001,400
0046,001,405–406
0047,001,407
0629,001,408
0053,001,409–459
1585,001,460
0048,001,461–467
0049,001,490
1613,001,491
0050,001,599–600
0636,001,609–616
0637,001,"616–629; 634–635"
1692,001,632–634
1681,001,636–637
2006,001,638–739
1705,001,740
0055,001,741–762
0056,001,787
1754,001,788–791
0125,001,792
