tlg_author_id,tlg_work_id,author_heading,work_title,bibliographic_notice
3188,001,Joannes ACTUARIUS Med.,De spiritu animali,"De spiritu animali, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 312–386. Cod: 22,488: Med."
3188,002,Joannes ACTUARIUS Med.,De urinis,"De urinis, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 3–192. Cod: 54,415: Med."
3188,003,Joannes ACTUARIUS Med.,De diagnosi,"De diagnosi, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 353–463. Cod: 32,319: Med."
0732,002,ALEXANDER Phil.,Problemata (lib. 1–2) [Sp.],"Problemata (lib. 1–2) [Sp.], ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 3–80. Cod: 23,407: Med., Nat. Hist. Cf. et 0732 017."
0721,003,ANONYMI MEDICI,Περὶ χροιᾶς τοῦ αἵματος τοῦ ἀπὸ φλεβοτομίας ἐκ τῆς ἰατρικῆς τῶν Περσῶν,"Περὶ χροιᾶς τοῦ αἵματος τοῦ ἀπὸ φλεβοτομίας ἐκ τῆς ἰατρικῆς τῶν Περσῶν, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 293. Cod: 147: Med."
4350,004,ASTROLOGICA,Liber ad Ammonem (olim sub nomine Hermae Trismegisti),"Liber ad Ammonem (olim sub nomine Hermae Trismegisti), ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 387–396. Cod: 2,843: Astrol., Med."
0733,001,CASSIUS Iatrosophista Med.,Quaestiones medicae et problemata physica,"Quaestiones medicae et problemata physica, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 144–167. Cod: 6,933: Med., Nat. Hist."
4494,001,Theophanes CHRYSOBALANTES Med.,De alimentis,"De alimentis, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 257–281. Cod: 6415: Med. Cf. ANONYMI MEDICI (0721 010). Dup. 0721 010."
2022,056,GREGORIUS NAZIANZENUS Theol.,Ἁλάτιον σκευασθὲν ὑπὸ τῆς ἐνεργείας τοιάσδε,"Ἁλάτιον σκευασθὲν ὑπὸ τῆς ἐνεργείας τοιάσδε, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 297–298. Cod: 91: Med."
0745,001,HIEROPHILUS Phil. et Soph.,De nutriendi methodo,"De nutriendi methodo, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 409–417. Cod: 2,173: Med."
0737,001,JULIANUS Scriptor Legis De Medicis,Lex de medicis,"Lex de medicis, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 464. Cod: 65: Med. JULIANUS Theurgus Phil. A.D. 2 Cf. ORACULA CHALDAICA (1550 001)."
1872,001,[Corpus Christianorum Conciliorum,Σκευασία ἁλατίου,"Σκευασία ἁλατίου, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 297. Cod: 122: Med."
0726,002,PALLADIUS Med.,Synopsis de febribus,"Synopsis de febribus, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 107–120. Cod: 3,549: Med. Cf. et THEOPHILUS Protospatharius et STEPHANUS Atheniensis Med. (0746 001)."
1672,006,SERVIUS Hist.,"De odoratu, de gustatu et de tactu","De odoratu, de gustatu et de tactu, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 283–285. Cod: 656: Nat. Hist."
9021,001,STEPHANUS Alchem.,De magna et sacra arte (sub nomine Stephani Alexandrini philosophi),"De magna et sacra arte (sub nomine Stephani Alexandrini philosophi), ed. J. L. Ideler, Physici et medici Graeci minores, vol. 2, Berlin: Reimer, 1842 (repr. Amsterdam: Hakkert, 1963): 199–253. Cod: 16,569: Alchem."
0729,002,THEOPHILUS Protospatharius Med.,De urinis,"De urinis, ed. J. L. Ideler, Physici et medici Graeci minores, vol. 1, Berlin: Reimer, 1841 (repr. Amsterdam: Hakkert, 1963): 261–283. Cod: 6,158: Med."
