tlg_author_id,tlg_work_id,work_title,printed_pages,pdf_pages
0064,001,Periplus Hannonis,1–14,163–176
0065,001,Periplus Scylacis,15–96,177–258
1405,001,Descriptio Graeciae,97–110,259–272
0067,001,De mari Erythraeo (excerpta),111–194,273–356
0068,001,Ad Nicomedem regem,196–237,358–399
0071,001,Periplus maris Erythraei,257–305,419–467
0075,001,Periplus Ponti Euxini,402–423,566–587
4209,001,De ambitu Ponti Euxini,424–426,588–590
0077,001,Stadiasmus sive Periplus Maris Magni,427–514,591–678
4003,001,Periplus maris exteri,515–562,679–726
0079,002,Fragmenta,572–573,736–737
